modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_auc	test_auprc
ImageNetInceptionV2	esr2	adam	0.0005	30	0	0	0.6	0	0.63	0.32	0.53	0.46	1	24	28	8	0	0.84	0.66
ImageNetInceptionV2	kit	adam	0.0001	15	0	0	0.8	0	0.73	0.53	0.7	0.57	1	24	18	18	0	0.84	0.77
ImageNetInceptionV2	thb	adam	0.001	15	0	0	0.6	0	0.78	0.62	0.81	0.73	0.83	19	7	29	4	0.84	0.78
CNNModel	src	adam	0.0005	30	256	0	0.8	0	0.79	0.69	0.85	0.89	0.71	17	2	34	7	0.84	0.8
ImageNetInceptionV2	aa2ar	adam	0.0001	15	0	0	0.8	0	0.72	0.63	0.82	0.93	0.58	14	1	35	10	0.84	0.82
ImageNetInceptionV2	abl1	adam	0.0005	15	0	0	0.6	0	0.81	0.71	0.86	0.89	0.74	17	2	34	6	0.84	0.86
CNNModel	sahh	adam	0.0005	30	32	0	0.8	0	0.75	0.66	0.83	0.94	0.62	15	1	35	9	0.84	0.83
ImageNetInceptionV2	mp2k1	adam	0.0005	15	0	0	0.8	0	0.68	0.54	0.78	0.82	0.58	14	3	33	10	0.84	0.81
ImageNetInceptionV2	hs90a	adam	0.0005	15	0	0	0.6	0	0.71	0.49	0.67	0.55	1	24	20	16	0	0.84	0.78
CNNModel	pygm	adam	0.001	30	32	0	0.8	0	0.72	0.61	0.81	0.88	0.61	14	2	34	9	0.84	0.83
ImageNetInceptionV2	pde5a	adam	0.001	30	0	0	0.8	0	0.76	0.58	0.77	0.65	0.92	22	12	24	2	0.84	0.76
CNNModel	gcr	adam	0.001	30	32	0	0.8	0	0.72	0.52	0.77	0.69	0.75	18	8	28	6	0.83	0.69
ImageNetInceptionV2	nos1	adam	0.0005	30	0	0	0.6	0	0.73	0.55	0.78	0.72	0.75	18	7	29	6	0.83	0.81
CNNModel	plk1	adam	0.0005	30	128	0	0.6	0	0.77	0.65	0.83	0.85	0.71	17	3	33	7	0.83	0.8
ImageNetInceptionV2	mapk2	RMSprop	0.0001	30	0	0	0.8	0	0.67	0.55	0.78	0.87	0.54	13	2	34	11	0.83	0.77
ImageNetInceptionV2	adrb2	RMSprop	0.0005	30	0	0	0.8	0	0.75	0.58	0.8	0.75	0.75	18	6	30	6	0.83	0.79
ImageNetInceptionV2	kith	adam	0.0005	30	0	0	0.6	0	0.68	0.6	0.8	0.93	0.54	13	1	35	11	0.83	0.72
CNNModel	cxcr4	adam	0.001	40	512	0	0.6	0	0.78	0.63	0.82	0.74	0.83	20	7	29	4	0.87	0.85
CNNModel	csf1r	adam	0.0005	40	32	0	0.5	0	0.75	0.64	0.83	0.88	0.65	15	2	34	8	0.86	0.77
CNNModel	pgh1	adam	0.0005	40	128	0	0.8	0	0.72	0.52	0.77	0.69	0.75	18	8	28	6	0.83	0.77
CNNModel	adrb1	adam	0.001	40	32	0	0.6	0	0.73	0.56	0.79	0.67	0.8	16	8	28	4	0.84	0.71
CNNModel	nram	adam	0.005	40	128	0	0.6	0	0.75	0.56	0.78	0.7	0.79	19	8	28	5	0.83	0.78
CNNModel	ampc	RMSprop	0.001	40	16	0	0.6	0	0.51	0.4	0.72	0.82	0.38	9	2	34	15	0.8	0.77
CNNModel	mk10	adam	0.0005	40	32	0	0.6	0	0.73	0.52	0.75	0.65	0.83	20	11	25	4	0.82	0.75
ImageNetInceptionV2	mk01	adam	0.0005	10	0	0	0.5	0	0.73	0.62	0.82	0.88	0.62	15	2	34	9	0.85	0.8
CNNModel	fnta	adam	0.001	30	512	0	0.8	0	0.7	0.54	0.78	0.79	0.62	15	4	32	9	0.81	0.78
CNNModel	tysy	adam	0.001	30	128	0	0.5	0	0.72	0.67	0.83	1	0.57	13	0	36	10	0.85	0.84
ImageNetInceptionV2	urok	adam	0.005	5	0	0	0.8	0	0.69	0.45	0.63	0.52	1	24	22	14	0	0.77	0.67
CNNModel	fak1	adam	0.001	40	256	0	0.5	0	0.73	0.62	0.82	0.88	0.62	15	2	34	9	0.84	0.75
ImageNetInceptionV2	reni	momentum	0.001	10	0	0	0.6	0	0.7	0.58	0.8	0.88	0.58	14	2	34	10	0.81	0.8
ImageNetInceptionV2	esr1	momentum	0.001	10	0	0	0.6	0	0.73	0.55	0.78	0.72	0.75	18	7	29	6	0.84	0.73
CNNModel	met	adam	0.0005	40	256	0	0.6	0	0.77	0.62	0.76	0.62	1	23	14	22	0	0.87	0.82
CNNModel	fa7	adam	0.001	40	32	0	0.8	0	0.76	0.59	0.8	0.73	0.79	19	7	29	5	0.85	0.75
ImageNetInceptionV2	ptn1	adam	0.0005	10	0	0	0.5	0	0.81	0.68	0.83	0.73	0.92	22	8	28	2	0.9	0.88
CNNModel	drd3	adam	0.001	40	512	0	0.6	0	0.71	0.51	0.72	0.59	0.91	20	14	22	2	0.83	0.75
CNNModel	bace1	adam	0.001	40	32	0	0.5	0	0.67	0.58	0.8	0.92	0.52	12	1	35	11	0.85	0.8
CNNModel	kif11	adam	0.001	40	16	0	0.6	0	0.75	0.59	0.75	0.61	1	23	15	21	0	0.86	0.78
CNNModel	fpps	adam	0.0005	40	128	0	0.5	0	0.77	0.61	0.81	0.78	0.75	18	5	30	6	0.84	0.75
CNNModel	ada	adam	0.001	30	16	0	0.5	0	0.78	0.63	0.82	0.74	0.83	20	7	29	4	0.9	0.88
CNNModel	hxk4	adam	0.0005	30	16	0	0.5	0	0.76	0.64	0.84	0.82	0.7	14	3	33	6	0.83	0.76
CNNModel	akt2	adam	0.001	40	512	0	0.8	0	0.74	0.65	0.83	0.93	0.61	14	1	35	9	0.84	0.82
CNNModel	mk14	adam	0.001	30	16	0	0.8	0	0.73	0.58	0.8	0.8	0.67	16	4	32	8	0.85	0.8
CNNModel	pyrd	adam	0.0005	40	16	0	0.5	0	0.68	0.49	0.76	0.68	0.68	15	7	29	7	0.82	0.75
CNNModel	def	adam	0.0005	30	512	0	0.8	0	0.72	0.55	0.78	0.74	0.71	17	6	30	7	0.81	0.79
ImageNetInceptionV2	parp1	adam	0.0005	10	0	0	0.8	0	0.65	0.56	0.78	0.92	0.5	12	1	35	12	0.86	0.82
CNNModel	fabp4	adam	0.001	30	512	0	0.6	0	0.71	0.55	0.79	0.75	0.68	15	5	31	7	0.83	0.72
CNNModel	ada17	adam	0.005	40	512	0	0.5	0	0.78	0.67	0.84	0.84	0.73	16	3	33	6	0.84	0.83
CNNModel	mmp13	adam	0.005	20	256	0	0.5	0	0.8	0.66	0.83	0.77	0.83	20	6	30	4	0.89	0.78
ImageNetInceptionV2	pgh2	momentum	0.005	10	0	0	0.6	0	0.73	0.53	0.73	0.61	0.92	22	14	22	2	0.86	0.8
CNNModel	tgfr1	adam	0.0005	40	16	0	0.6	0	0.74	0.61	0.82	0.84	0.67	16	3	33	8	0.84	0.81
CNNModel	braf	adam	0.001	40	512	0	0.8	0	0.79	0.64	0.82	0.72	0.88	21	8	28	3	0.86	0.72
CNNModel	pnph	adam	0.0005	40	512	0	0.8	0	0.7	0.53	0.78	0.75	0.65	15	5	31	8	0.79	0.74
CNNModel	lck	adam	0.0005	40	256	0	0.5	0	0.79	0.65	0.83	0.79	0.79	19	5	31	5	0.86	0.83
ImageNetInceptionV2	cp3a4	RMSprop	0.01	5	0	0	0.6	0	0.75	0.61	0.81	0.71	0.79	15	6	29	4	0.83	0.63
CNNModel	pa2ga	adam	0.0005	30	256	0	0.5	0	0.76	0.59	0.8	0.7	0.83	19	8	28	4	0.85	0.79
CNNModel	cp2c9	adam	0.0005	40	256	0	0.5	0	0.79	0.65	0.81	0.7	0.91	21	9	27	2	0.85	0.82
CNNModel	rock1	adam	0.005	40	256	0	0.5	0	0.78	0.63	0.81	0.71	0.87	20	8	28	3	0.82	0.7
CNNModel	egfr	adam	0.001	40	32	0	0.5	0	0.71	0.55	0.79	0.68	0.75	15	7	29	5	0.86	0.76
CNNModel	dhi1	adam	0.001	40	256	0	0.6	0	0.72	0.59	0.81	0.82	0.64	14	3	33	8	0.86	0.82
CNNModel	aofb	adam	0.001	40	32	0	0.5	0	0.56	0.53	0.76	1	0.39	9	0	36	14	0.83	0.8
ImageNetInceptionV2	inha	momentum	0.001	10	0	0	0.6	0	0.72	0.52	0.77	0.69	0.75	18	8	28	6	0.82	0.71
CNNModel	fa10	adam	0.001	40	256	0	0.6	0	0.73	0.53	0.77	0.68	0.79	19	9	27	5	0.83	0.71
CNNModel	pur2	adam	0.0005	40	256	0	0.6	0	0.78	0.63	0.79	0.66	0.95	21	11	25	1	0.86	0.79
CNNModel	gria2	adam	0.001	40	16	0	0.6	0	0.77	0.6	0.8	0.71	0.83	20	8	28	4	0.85	0.76
CNNModel	thrb	adam	0.01	20	512	0	0.5	0	0.83	0.72	0.87	0.86	0.79	19	3	33	5	0.88	0.72
ImageNetInceptionV2	aldr	adam	0.001	10	0	0	0.6	0	0.67	0.59	0.82	0.91	0.53	10	1	35	9	0.84	0.81
ImageNetInceptionV2	cah2	adam	0.001	10	0	0	0.6	0	0.73	0.57	0.8	0.76	0.7	16	5	31	7	0.82	0.76
CNNModel	akt1	adam	0.001	40	256	0	0.5	0	0.68	0.51	0.77	0.75	0.62	15	5	31	9	0.83	0.79
CNNModel	igf1r	adam	0.001	40	16	0	0.8	0	0.62	0.58	0.79	1	0.45	10	0	36	12	0.85	0.82
