log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	val_auc	val_auprc	test_auc	test_auprc
convnetLenselinkFinalRun_32701.out	CNNModel	CHEMBL4581	adam	0.0001	30	32	0	0.6	0	0	0.85	0.51	0.79	0.9	0.81	61	7	19	14	0.21	0.78	0.91	0.78	0.91
convnetLenselinkFinalRun_30964.out	ImageNetInceptionV2	CHEMBL4422	adam	0.001	30	0	0	0.8	0	0	0.88	0.34	0.8	0.79	1	126	34	6	0	0.89	0.59	0.8	0.59	0.8
convnetLenselinkFinalRun_32479.out	CNNModel	CHEMBL267	RMSprop	0.0001	30	128	0	0.6	0	0	0.63	0.52	0.73	0.47	0.94	16	18	36	1	0.51	0.8	0.47	0.8	0.47
convnetLenselinkFinalRun_14722.out	CNNModel	CHEMBL239	RMSprop	0.001	15	128	0	0.8	0	0	0.72	0.5	0.75	0.72	0.72	31	12	42	12	0.38	0.72	0.64	0.72	0.64
convnetLenselinkFinalRun_25623.out	CNNModel	CHEMBL2413	adam	0.001	30	256	0	0.6	0	0	0.79	0.33	0.7	0.93	0.69	98	7	20	44	0.61	0.71	0.92	0.71	0.92
convnetLenselinkFinalRun_16012.out	CNNModel	CHEMBL286	adam	0.001	15	128	0	0.8	0	0	0.94	0.67	0.91	0.92	0.97	58	5	9	2	0.7	0.81	0.91	0.81	0.91
convnetLenselinkFinalRun_36154.out	ImageNetInceptionV2	CHEMBL1878	RMSprop	0.001	30	0	0	0.8	0	0	0.81	0.49	0.76	0.75	0.88	58	19	26	8	0.02	0.77	0.79	0.77	0.79
convnetLenselinkFinalRun_13880.out	ImageNetInceptionV2	CHEMBL258	RMSprop	0.0001	15	0	0	0.8	0	0	0.82	0.52	0.74	0.69	1	42	19	12	0	0.99	0.79	0.76	0.79	0.76
convnetLenselinkFinalRun_19371.out	CNNModel	CHEMBL3358	adam	0.001	15	128	0	0.6	0	0	0.75	0.54	0.77	0.75	0.75	15	5	19	5	0.34	0.82	0.8	0.82	0.8
convnetLenselinkFinalRun_34190.out	CNNModel	CHEMBL1985	adam	0.0001	30	32	0	0.8	0	0	0.57	0.22	0.6	0.67	0.49	45	22	57	47	0.68	0.57	0.59	0.57	0.59
convnetLenselinkFinalRun_19565.out	CNNModel	CHEMBL2148	adam	0.0005	15	128	0	0.6	0	0	0.79	0.28	0.67	0.66	1	82	43	6	0	0.54	0.46	0.62	0.46	0.62
convnetLenselinkFinalRun_31311.out	CNNModel	CHEMBL1913	adam	0.001	30	32	0	0.6	0	0	0.9	0.46	0.84	0.87	0.94	47	7	6	3	0.01	0.73	0.9	0.73	0.9
convnetLenselinkFinalRun_24533.out	ImageNetInceptionV2	CHEMBL4409	adam	0.0005	30	0	0	0.6	0	0	0.83	0.27	0.73	0.72	1	134	53	6	0	0.46	0.65	0.8	0.65	0.8
convnetLenselinkFinalRun_28454.out	CNNModel	CHEMBL3869	adam	0.0001	30	256	0	0.8	0	0	0.5	0.34	0.76	0.55	0.46	11	9	58	13	0.58	0.64	0.52	0.64	0.52
convnetLenselinkFinalRun_27673.out	CNNModel	CHEMBL3192	adam	0.0001	30	128	0	0.6	0	0	0.45	0.3	0.77	0.47	0.43	16	18	112	21	0.4	0.65	0.33	0.65	0.33
convnetLenselinkFinalRun_979.out	CNNModel	CHEMBL222	RMSprop	0.0001	5	32	0	0.6	0	0	0.94	0.37	0.89	0.89	1	85	11	2	0	0.58	0.44	0.84	0.44	0.84
convnetLenselinkFinalRun_27508.out	ImageNetInceptionV2	CHEMBL4015	adam	0.001	30	0	0	0.8	0	0	0.86	0.22	0.77	0.81	0.92	98	23	8	9	0.79	0.57	0.78	0.57	0.78
convnetLenselinkFinalRun_17413.out	CNNModel	CHEMBL2722	adam	0.0001	15	256	0	0.6	0	0	0.9	0.49	0.83	0.83	0.97	103	21	14	3	0.57	0.68	0.84	0.68	0.84
convnetLenselinkFinalRun_5722.out	ImageNetInceptionV2	CHEMBL1836	RMSprop	0.001	5	0	0	0.8	0	0	0.65	0.46	0.69	0.89	0.52	16	2	22	15	0.64	0.7	0.79	0.7	0.79
convnetLenselinkFinalRun_32216.out	ImageNetInceptionV2	CHEMBL5409	RMSprop	0.0001	30	0	0	0.8	0	0	0.8	0.23	0.7	0.72	0.9	111	43	17	13	0.05	0.63	0.76	0.63	0.76
convnetLenselinkFinalRun_14765.out	CNNModel	CHEMBL3910	adam	0.0005	15	128	0	0.6	0	0	0.64	0.36	0.63	0.87	0.51	59	9	53	57	0.57	0.62	0.79	0.62	0.79
convnetLenselinkFinalRun_7827.out	ImageNetInceptionV2	CHEMBL240	adam	0.001	5	0	0	0.6	0	0	0.31	0.36	0.93	0.73	0.2	11	4	621	44	0.99	0.65	0.34	0.65	0.34
convnetLenselinkFinalRun_4721.out	CNNModel	CHEMBL2185	adam	0.0005	5	32	0	0.6	0	0	0.79	0.29	0.7	0.74	0.86	56	20	13	9	0.61	0.68	0.75	0.68	0.75
convnetLenselinkFinalRun_31260.out	ImageNetInceptionV2	CHEMBL241	RMSprop	0.0005	30	0	0	0.8	0	0	0.77	0.6	0.75	0.63	1	17	10	13	0	0.01	0.78	0.63	0.78	0.63
convnetLenselinkFinalRun_22971.out	CNNModel	CHEMBL4793	adam	0.001	15	128	0	0.6	0	0	0.63	0.59	0.85	0.92	0.48	11	1	62	12	0.4	0.75	0.68	0.75	0.68
convnetLenselinkFinalRun_20139.out	CNNModel	CHEMBL4302	adam	0.001	15	128	0	0.6	0	0	0.21	0.31	0.83	1	0.12	2	0	70	15	0.55	0.41	0.27	0.41	0.27
convnetLenselinkFinalRun_16615.out	ImageNetInceptionV2	CHEMBL2637	RMSprop	0.0001	15	0	0	0.6	0	0	0.79	0.5	0.73	0.67	0.95	39	19	18	2	0.38	0.78	0.77	0.78	0.77
convnetLenselinkFinalRun_4086.out	ImageNetInceptionV2	CHEMBL311	adam	0.0005	5	0	0	0.8	0	0	0.92	0.87	0.94	0.89	0.94	17	2	27	1	0.86	0.96	0.88	0.96	0.88
convnetLenselinkFinalRun_10329.out	ImageNetInceptionV2	CHEMBL5652	RMSprop	0.001	5	0	0	0.6	0	0	0.8	0.18	0.69	0.75	0.86	158	53	22	26	0.7	0.54	0.7	0.54	0.7
convnetLenselinkFinalRun_2164.out	ImageNetInceptionV2	CHEMBL238	adam	0.001	5	0	0	0.8	0	0	0.79	0.29	0.7	0.72	0.89	77	30	17	10	0.1	0.64	0.77	0.64	0.77
convnetLenselinkFinalRun_24469.out	CNNModel	CHEMBL244	adam	0.0001	15	256	0	0.6	0	0	0.47	0.42	0.83	0.73	0.35	16	6	157	30	0.89	0.56	0.35	0.56	0.35
convnetLenselinkFinalRun_25222.out	CNNModel	CHEMBL256	RMSprop	0.001	30	32	0	0.8	0	0	0.59	0.45	0.68	0.92	0.43	44	4	88	58	0.98	0.73	0.8	0.73	0.8
convnetLenselinkFinalRun_14838.out	ImageNetInceptionV2	CHEMBL204	adam	0.0005	15	0	0	0.8	0	0	0.67	0.52	0.79	0.73	0.61	44	16	119	28	0.23	0.77	0.69	0.77	0.69
convnetLenselinkFinalRun_35058.out	CNNModel	CHEMBL4618	adam	0.0005	30	32	0	0.8	0	0	0.78	0.67	0.84	0.89	0.7	16	2	31	7	0.88	0.84	0.84	0.84	0.84
convnetLenselinkFinalRun_33280.out	CNNModel	CHEMBL214	adam	0.001	30	32	0	0.8	0	0	0.84	0.45	0.76	0.77	0.93	127	39	32	10	0.86	0.67	0.71	0.67	0.71
convnetLenselinkFinalRun_15231.out	CNNModel	CHEMBL1936	adam	0.001	15	32	0	0.6	0	0	0.82	0.35	0.74	0.87	0.78	80	12	18	22	0.6	0.66	0.84	0.66	0.84
convnetLenselinkFinalRun_18604.out	CNNModel	CHEMBL208	adam	0.001	15	128	0	0.8	0	0	0.31	0.4	0.9	1	0.18	2	0	76	9	0.93	0.51	0.29	0.51	0.29
convnetLenselinkFinalRun_12556.out	CNNModel	CHEMBL3267	adam	0.001	15	128	0	0.8	0	0	0.63	0.29	0.59	0.49	0.87	73	75	49	11	0.47	0.61	0.47	0.61	0.47
convnetLenselinkFinalRun_35139.out	ImageNetInceptionV2	CHEMBL3798	adam	0.001	30	0	0	0.6	0	0	0.87	0.5	0.8	0.99	0.78	72	1	12	20	0.99	0.86	0.98	0.86	0.98
convnetLenselinkFinalRun_3267.out	ImageNetInceptionV2	CHEMBL254	adam	0.001	5	0	0	0.6	0	0	0.91	0.53	0.84	0.83	1	39	8	4	0	0.72	0.75	0.9	0.75	0.9
convnetLenselinkFinalRun_19596.out	ImageNetInceptionV2	CHEMBL4980	RMSprop	0.0005	15	0	0	0.8	0	0	0.78	0.49	0.72	0.66	0.95	73	37	35	4	0.98	0.79	0.77	0.79	0.77
convnetLenselinkFinalRun_13143.out	CNNModel	CHEMBL3587	adam	0.001	15	256	0	0.6	0	0	0.92	0.56	0.87	0.85	1	70	12	7	0	0.57	0.69	0.88	0.69	0.88
convnetLenselinkFinalRun_25578.out	CNNModel	CHEMBL5936	adam	0.0005	30	256	0	0.8	0	0	0.9	0.73	0.88	0.9	0.9	18	2	10	2	0.93	0.92	0.96	0.92	0.96
convnetLenselinkFinalRun_25925.out	ImageNetInceptionV2	CHEMBL262	adam	0.0005	30	0	0	0.6	0	0	0.7	0.46	0.73	0.77	0.64	56	17	72	31	0.89	0.72	0.73	0.72	0.73
convnetLenselinkFinalRun_20021.out	ImageNetInceptionV2	CHEMBL1994	adam	0.0005	15	0	0	0.6	0	0	0.68	0.29	0.62	0.57	0.84	82	62	46	16	0.56	0.58	0.49	0.58	0.49
convnetLenselinkFinalRun_13496.out	ImageNetInceptionV2	CHEMBL248	RMSprop	0.0001	15	0	0	0.8	0	0	0.82	0.36	0.74	0.75	0.91	41	14	9	4	0.25	0.67	0.8	0.67	0.8
convnetLenselinkFinalRun_22225.out	ImageNetInceptionV2	CHEMBL2835	adam	0.0001	15	0	0	0.6	0	0	0.27	0.26	0.47	1	0.16	19	0	71	101	0.14	0.39	0.64	0.39	0.64
convnetLenselinkFinalRun_21461.out	ImageNetInceptionV2	CHEMBL3105	adam	0.0005	15	0	0	0.6	0	0	0.58	0.29	0.53	0.42	0.94	84	118	52	5	0.37	0.6	0.43	0.6	0.43
convnetLenselinkFinalRun_8727.out	CNNModel	CHEMBL3145	adam	0.001	5	256	0	0.6	0	0	0.81	0.46	0.73	0.69	0.97	116	51	31	3	0.54	0.5	0.55	0.5	0.55
convnetLenselinkFinalRun_16132.out	ImageNetInceptionV2	CHEMBL2993	adam	0.001	15	0	0	0.8	0	0	0.69	0.57	0.75	0.96	0.54	27	1	44	23	0.91	0.79	0.81	0.79	0.81
convnetLenselinkFinalRun_32585.out	CNNModel	CHEMBL226	adam	0.0005	30	256	0	0.6	0	0	0.6	0.3	0.66	0.62	0.58	63	38	95	45	0.7	0.65	0.61	0.65	0.61
convnetLenselinkFinalRun_31666.out	CNNModel	CHEMBL228	RMSprop	0.001	30	128	0	0.8	0	0	0.76	0.3	0.68	0.88	0.68	143	20	41	68	1	0.65	0.84	0.65	0.84
convnetLenselinkFinalRun_17547.out	CNNModel	CHEMBL245	adam	0.001	15	128	0	0.6	0	0	0.93	0.68	0.89	0.95	0.9	76	4	18	8	0.69	0.88	0.96	0.88	0.96
convnetLenselinkFinalRun_30061.out	CNNModel	CHEMBL2047	adam	0.0001	30	32	0	0.6	0	0	0.5	0.44	0.85	0.39	0.7	7	11	71	3	0.52	0.76	0.36	0.76	0.36
convnetLenselinkFinalRun_5672.out	ImageNetInceptionV2	CHEMBL2851	RMSprop	0.0001	5	0	0	0.8	0	0	0.84	0.56	0.78	0.74	0.97	34	12	12	1	0.55	0.74	0.73	0.74	0.73
convnetLenselinkFinalRun_3461.out	ImageNetInceptionV2	CHEMBL4282	adam	0.0005	5	0	0	0.6	0	0	0.81	0.49	0.73	0.68	0.98	60	28	18	1	0.89	0.72	0.71	0.72	0.71
convnetLenselinkFinalRun_22614.out	ImageNetInceptionV2	CHEMBL308	adam	0.0005	15	0	0	0.8	0	0	0.89	0.63	0.83	0.8	1	24	6	6	0	0.87	0.82	0.88	0.82	0.88
convnetLenselinkFinalRun_27555.out	ImageNetInceptionV2	CHEMBL6009	adam	0.001	30	0	0	0.6	0	0	0.88	0.33	0.79	0.78	0.99	238	66	14	2	0.34	0.61	0.82	0.61	0.82
convnetLenselinkFinalRun_22055.out	CNNModel	CHEMBL275	RMSprop	0.0005	15	32	0	0.6	0	0	0.82	0.29	0.73	0.78	0.87	157	43	28	24	0.54	0.7	0.85	0.7	0.85
convnetLenselinkFinalRun_15802.out	ImageNetInceptionV2	CHEMBL3594	RMSprop	0.001	15	0	0	0.8	0	0	0.78	0.37	0.71	0.85	0.71	330	56	127	135	0.93	0.75	0.87	0.75	0.87
convnetLenselinkFinalRun_26490.out	CNNModel	CHEMBL1860	adam	0.0005	30	256	0	0.8	0	0	0.55	0.51	0.84	0.86	0.4	6	1	47	9	0.75	0.67	0.48	0.67	0.48
convnetLenselinkFinalRun_29022.out	CNNModel	CHEMBL344	adam	0.0005	30	128	0	0.8	0	0	0.8	0.42	0.72	0.7	0.92	33	14	11	3	0.37	0.65	0.74	0.65	0.74
convnetLenselinkFinalRun_34554.out	CNNModel	CHEMBL2414	adam	0.0005	30	256	0	0.8	0	0	0.88	0.57	0.82	0.89	0.86	25	3	8	4	0.74	0.82	0.92	0.82	0.92
convnetLenselinkFinalRun_26346.out	CNNModel	CHEMBL2431	adam	0.0005	30	256	0	0.8	0	0	0.94	0.79	0.91	1	0.88	15	0	5	2	0.18	0.89	0.97	0.89	0.97
convnetLenselinkFinalRun_24768.out	CNNModel	CHEMBL3884	RMSprop	0.0005	30	256	0	0.8	0	0	0.84	0.56	0.8	0.83	0.84	65	13	32	12	0.46	0.77	0.85	0.77	0.85
convnetLenselinkFinalRun_30921.out	ImageNetInceptionV2	CHEMBL2916	RMSprop	0.001	30	0	0	0.6	0	0	0.5	0.42	0.85	0.44	0.57	8	10	80	6	0.05	0.79	0.35	0.79	0.35
convnetLenselinkFinalRun_10135.out	ImageNetInceptionV2	CHEMBL270	RMSprop	0.0001	5	0	0	0.6	0	0	0.98	0.37	0.96	0.96	1	132	6	1	0	0.46	0.7	0.98	0.7	0.98
convnetLenselinkFinalRun_9027.out	ImageNetInceptionV2	CHEMBL215	adam	0.001	5	0	0	0.6	0	0	0.35	0.27	0.78	0.25	0.57	8	24	100	6	0.02	0.71	0.19	0.71	0.19
convnetLenselinkFinalRun_27705.out	ImageNetInceptionV2	CHEMBL4471	RMSprop	0.001	30	0	0	0.6	0	0	0.33	0.39	0.76	1	0.2	2	0	24	8	0.81	0.61	0.49	0.61	0.49
convnetLenselinkFinalRun_26190.out	CNNModel	CHEMBL1991	adam	0.0005	30	128	0	0.8	0	0	0.62	0.35	0.61	0.9	0.47	46	5	40	51	0.74	0.71	0.86	0.71	0.86
convnetLenselinkFinalRun_14460.out	ImageNetInceptionV2	CHEMBL2002	RMSprop	0.0005	15	0	0	0.8	0	0	0.88	0.72	0.86	0.96	0.82	23	1	14	5	0.87	0.87	0.92	0.87	0.92
convnetLenselinkFinalRun_19338.out	CNNModel	CHEMBL4657	adam	0.0005	15	256	0	0.8	0	0	0.59	0.55	0.81	0.93	0.43	13	1	65	17	0.46	0.73	0.68	0.73	0.68
convnetLenselinkFinalRun_26791.out	ImageNetInceptionV2	CHEMBL3222	RMSprop	0.0001	30	0	0	0.6	0	0	0.95	0.67	0.91	0.91	0.99	116	12	14	1	0.7	0.83	0.95	0.83	0.95
convnetLenselinkFinalRun_30468.out	CNNModel	CHEMBL1978	RMSprop	0.0005	30	128	0	0.8	0	0	0.8	0.58	0.78	0.71	0.91	52	21	40	5	0.38	0.79	0.74	0.79	0.74
convnetLenselinkFinalRun_33410.out	ImageNetInceptionV2	CHEMBL221	adam	0.0001	30	0	0	0.8	0	0	0.33	0.43	0.91	1	0.2	2	0	77	8	1	0.78	0.55	0.78	0.55
convnetLenselinkFinalRun_32046.out	CNNModel	CHEMBL202	adam	0.0005	30	128	0	0.8	0	0	0.67	0.49	0.75	0.58	0.79	26	19	52	7	0.17	0.75	0.54	0.75	0.54
convnetLenselinkFinalRun_4043.out	ImageNetInceptionV2	CHEMBL3974	RMSprop	0.0005	5	0	0	0.6	0	0	0.93	0.51	0.88	0.87	1	47	7	3	0	0.54	0.73	0.91	0.73	0.91
convnetLenselinkFinalRun_28157.out	CNNModel	CHEMBL3155	adam	0.0005	30	128	0	0.6	0	0	0.89	0.41	0.81	0.84	0.94	216	41	28	15	0.15	0.67	0.83	0.67	0.83
convnetLenselinkFinalRun_36270.out	CNNModel	CHEMBL3181	adam	0.0005	30	128	0	0.8	0	0	0.61	0.47	0.8	0.58	0.64	7	5	28	4	0.8	0.8	0.56	0.8	0.56
convnetLenselinkFinalRun_29244.out	ImageNetInceptionV2	CHEMBL264	RMSprop	0.0005	30	0	0	0.8	0	0	0.92	0.42	0.87	0.88	0.97	245	32	17	8	0.33	0.66	0.87	0.66	0.87
convnetLenselinkFinalRun_32515.out	CNNModel	CHEMBL4630	RMSprop	0.0001	30	32	0	0.6	0	0	0.79	0.43	0.73	0.74	0.85	34	12	15	6	0.56	0.71	0.78	0.71	0.78
convnetLenselinkFinalRun_20176.out	CNNModel	CHEMBL1914	adam	0.001	15	32	0	0.8	0	0	0.81	0.78	0.94	0.84	0.78	21	4	150	6	0.97	0.92	0.81	0.92	0.81
convnetLenselinkFinalRun_17179.out	CNNModel	CHEMBL4005	RMSprop	0.0001	15	256	0	0.6	0	0	0.72	0.22	0.62	0.6	0.91	192	128	44	19	0.61	0.66	0.66	0.66	0.66
convnetLenselinkFinalRun_20599.out	ImageNetInceptionV2	CHEMBL1827	RMSprop	0.0001	15	0	0	0.6	0	0	0.73	0.4	0.7	0.8	0.67	32	8	23	16	0.83	0.71	0.8	0.71	0.8
convnetLenselinkFinalRun_24110.out	CNNModel	CHEMBL3130	adam	0.0001	15	32	0	0.8	0	0	0.73	0.2	0.61	0.59	0.94	107	73	17	7	0.51	0.54	0.6	0.54	0.6
convnetLenselinkFinalRun_33616.out	CNNModel	CHEMBL4321	adam	0.001	30	32	0	0.8	0	0	0.75	0.49	0.72	0.65	0.9	44	24	32	5	0.34	0.75	0.66	0.75	0.66
convnetLenselinkFinalRun_21996.out	ImageNetInceptionV2	CHEMBL2996	RMSprop	0.0005	15	0	0	0.8	0	0	0.96	0.64	0.92	0.94	0.98	44	3	4	1	0.74	0.84	0.97	0.84	0.97
convnetLenselinkFinalRun_21754.out	ImageNetInceptionV2	CHEMBL3397	RMSprop	0.001	15	0	0	0.8	0	0	0.15	0.26	0.87	1	0.08	2	0	157	23	0.3	0.41	0.19	0.41	0.19
convnetLenselinkFinalRun_21226.out	ImageNetInceptionV2	CHEMBL235	RMSprop	0.001	15	0	0	0.8	0	0	0.74	0.45	0.69	0.61	0.95	72	46	37	4	0.15	0.74	0.68	0.74	0.68
convnetLenselinkFinalRun_18484.out	ImageNetInceptionV2	CHEMBL2778	adam	0.001	15	0	0	0.8	0	0	0.89	0.41	0.81	0.84	0.94	31	6	4	2	0.73	0.53	0.77	0.53	0.77
convnetLenselinkFinalRun_21705.out	ImageNetInceptionV2	CHEMBL2842	RMSprop	0.001	15	0	0	0.6	0	0	0.92	0.43	0.86	0.85	1	120	21	6	0	0.99	0.6	0.83	0.6	0.83
convnetLenselinkFinalRun_34911.out	CNNModel	CHEMBL219	adam	0.001	30	32	0	0.6	0	0	0.86	0.63	0.81	0.97	0.77	36	1	16	11	0.83	0.86	0.95	0.86	0.95
convnetLenselinkFinalRun_29959.out	ImageNetInceptionV2	CHEMBL2971	RMSprop	0.0001	30	0	0	0.6	0	0	0.76	0.21	0.66	0.68	0.87	168	79	34	25	0.8	0.53	0.62	0.53	0.62
convnetLenselinkFinalRun_33796.out	ImageNetInceptionV2	CHEMBL4247	adam	0.001	30	0	0	0.8	0	0	0.91	0.6	0.86	0.84	0.99	92	17	15	1	0.09	0.79	0.88	0.79	0.88
convnetLenselinkFinalRun_25181.out	CNNModel	CHEMBL4860	adam	0.0005	30	128	0	0.6	0	0	0.85	0.75	0.87	0.93	0.78	28	2	40	8	0.54	0.82	0.87	0.82	0.87
convnetLenselinkFinalRun_24670.out	CNNModel	CHEMBL2334	RMSprop	0.001	30	256	0	0.8	0	0	0.5	0.35	0.66	0.81	0.36	17	4	49	30	0.95	0.6	0.62	0.6	0.62
convnetLenselinkFinalRun_11137.out	ImageNetInceptionV2	CHEMBL2001	adam	0.0001	5	0	0	0.6	0	0	0.74	0.36	0.67	0.63	0.9	44	26	18	5	0.02	0.56	0.52	0.56	0.52
convnetLenselinkFinalRun_35033.out	CNNModel	CHEMBL1821	adam	0.0005	30	256	0	0.6	0	0	0.71	0.31	0.6	0.56	0.98	47	37	11	1	0.1	0.52	0.53	0.52	0.53
convnetLenselinkFinalRun_12722.out	ImageNetInceptionV2	CHEMBL3706	adam	0.0001	15	0	0	0.8	0	0	0.88	0.76	0.86	0.79	1	11	3	8	0	0.75	0.82	0.7	0.82	0.7
convnetLenselinkFinalRun_2130.out	CNNModel	CHEMBL1899	adam	0.0005	5	32	0	0.8	0	0	0.73	0.62	0.84	0.71	0.75	12	5	37	4	0.54	0.83	0.8	0.83	0.8
convnetLenselinkFinalRun_28641.out	CNNModel	CHEMBL260	RMSprop	0.001	30	128	0	0.6	0	0	0.74	0.44	0.67	0.6	0.96	134	89	61	5	0.4	0.71	0.65	0.71	0.65
convnetLenselinkFinalRun_19709.out	CNNModel	CHEMBL237	adam	0.0005	15	128	0	0.6	0	0	0.64	0.33	0.59	0.92	0.49	94	8	59	98	0.8	0.66	0.85	0.66	0.85
convnetLenselinkFinalRun_35782.out	CNNModel	CHEMBL4794	RMSprop	0.001	30	32	0	0.8	0	0	0.87	0.5	0.8	0.79	0.95	116	30	26	6	0.44	0.75	0.83	0.75	0.83
convnetLenselinkFinalRun_34407.out	CNNModel	CHEMBL1833	adam	0.001	30	256	0	0.6	0	0	0.42	0.32	0.59	0.89	0.27	25	3	74	66	0.97	0.58	0.69	0.58	0.69
convnetLenselinkFinalRun_32619.out	CNNModel	CHEMBL3286	adam	0.001	30	128	0	0.6	0	0	0.85	0.45	0.78	0.82	0.87	33	7	9	5	0.02	0.67	0.77	0.67	0.77
convnetLenselinkFinalRun_36584.out	ImageNetInceptionV2	CHEMBL2599	RMSprop	0.0001	30	0	0	0.8	0	0	0.88	0.46	0.81	0.85	0.92	115	21	20	10	0.5	0.71	0.84	0.71	0.84
convnetLenselinkFinalRun_29540.out	CNNModel	CHEMBL210	RMSprop	0.0001	30	32	0	0.8	0	0	0.81	0.51	0.76	0.77	0.86	59	18	32	10	0.67	0.75	0.74	0.75	0.74
convnetLenselinkFinalRun_6678.out	ImageNetInceptionV2	CHEMBL232	adam	0.0005	5	0	0	0.8	0	0	0.82	0.58	0.76	1	0.69	25	0	10	11	0.52	0.87	0.97	0.87	0.97
convnetLenselinkFinalRun_3313.out	ImageNetInceptionV2	CHEMBL1916	adam	0.0001	5	0	0	0.6	0	0	0.46	0.48	0.78	1	0.3	3	0	22	7	0.36	0.71	0.71	0.71	0.71
convnetLenselinkFinalRun_12441.out	ImageNetInceptionV2	CHEMBL251	RMSprop	0.001	15	0	0	0.6	0	0	0.68	0.29	0.65	0.71	0.66	109	44	76	57	0.11	0.67	0.73	0.67	0.73
convnetLenselinkFinalRun_7648.out	CNNModel	CHEMBL1824	adam	0.001	5	32	0	0.8	0	0	0.71	0.62	0.86	0.75	0.68	15	5	60	7	0.63	0.87	0.75	0.87	0.75
convnetLenselinkFinalRun_24198.out	ImageNetInceptionV2	CHEMBL4722	adam	0.0005	15	0	0	0.8	0	0	0.64	0.28	0.62	0.74	0.56	70	24	63	56	0.47	0.65	0.73	0.65	0.73
convnetLenselinkFinalRun_16539.out	CNNModel	CHEMBL2590	adam	0.001	15	128	0	0.6	0	0	0.63	0.56	0.88	0.67	0.6	6	3	45	4	0.86	0.8	0.43	0.8	0.43
convnetLenselinkFinalRun_27436.out	CNNModel	CHEMBL321	adam	0.001	30	128	0	0.8	0	0	0.83	0.33	0.72	0.7	1	129	54	10	0	0.05	0.59	0.76	0.59	0.76
convnetLenselinkFinalRun_4331.out	ImageNetInceptionV2	CHEMBL3837	RMSprop	0.0005	5	0	0	0.6	0	0	0.42	0.36	0.88	0.5	0.36	4	4	76	7	0.44	0.45	0.29	0.45	0.29
convnetLenselinkFinalRun_29053.out	CNNModel	CHEMBL1926	adam	0.0001	30	32	0	0.6	0	0	0.96	0.83	0.93	0.92	1	11	1	3	0	0.43	0.82	0.91	0.82	0.91
convnetLenselinkFinalRun_30779.out	ImageNetInceptionV2	CHEMBL273	RMSprop	0.0005	30	0	0	0.6	0	0	0.76	0.28	0.68	0.85	0.69	99	18	30	44	0.09	0.61	0.8	0.61	0.8
convnetLenselinkFinalRun_27633.out	CNNModel	CHEMBL1871	RMSprop	0.001	30	128	0	0.6	0	0	0.76	0.62	0.82	0.77	0.76	37	11	69	12	0.91	0.83	0.7	0.83	0.7
