log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	test_auc	test_auprc
convnetDUDE-ImageNetInceptionV2-ppara-RMSprop-0.0005-30-0-0-0.8-0-0-14556.out	ImageNetInceptionV2	ppara	RMSprop	0.0005	30	0	0	0.8	0	0	0.77	0.6	0.78	0.67	0.92	22	11	25	2	0.76	0.85	0.78
convnetDUDE-ImageNetInceptionV2-fpps-adam-0.0001-30-0-0-0.8-0-0-13730.out	ImageNetInceptionV2	fpps	adam	0.0001	30	0	0	0.8	0	0	0.72	0.52	0.77	0.69	0.75	18	8	28	6	0.05	0.8	0.76
convnetDUDE-ImageNetInceptionV2-fgfr1-adam-0.0005-30-0-0-0.8-0-0-13350.out	ImageNetInceptionV2	fgfr1	adam	0.0005	30	0	0	0.8	0	0	0.65	0.37	0.57	0.48	1	24	26	10	0	0.99	0.86	0.8
convnetDUDE-ImageNetInceptionV2-grik1-adam-0.001-15-0-0-0.6-0-0-9699.out	ImageNetInceptionV2	grik1	adam	0.001	15	0	0	0.6	0	0	0.22	0.28	0.65	1	0.12	3	0	36	21	0.01	0.86	0.82
convnetDUDE-ImageNetInceptionV2-ada17-RMSprop-0.0005-30-0-0-0.6-0-0-13403.out	ImageNetInceptionV2	ada17	RMSprop	0.0005	30	0	0	0.6	0	0	0.77	0.6	0.77	0.64	0.96	23	13	23	1	0.95	0.82	0.72
convnetDUDE-ImageNetInceptionV2-kpcb-adam-0.0001-15-0-0-0.6-0-0-8161.out	ImageNetInceptionV2	kpcb	adam	0.0001	15	0	0	0.6	0	0	0.8	0.68	0.85	0.86	0.75	18	3	33	6	0.63	0.86	0.83
convnetDUDE-ImageNetInceptionV2-mapk2-RMSprop-0.0001-30-0-0-0.8-0-0-14408.out	ImageNetInceptionV2	mapk2	RMSprop	0.0001	30	0	0	0.8	0	0	0.67	0.55	0.78	0.87	0.54	13	2	34	11	0.28	0.83	0.77
convnetDUDE-ImageNetInceptionV2-pparg-RMSprop-0.001-30-0-0-0.6-0-0-9849.out	ImageNetInceptionV2	pparg	RMSprop	0.001	30	0	0	0.6	0	0	0.76	0.59	0.78	0.66	0.91	21	11	25	2	0.98	0.86	0.79
convnetDUDE-ImageNetInceptionV2-adrb2-RMSprop-0.0005-30-0-0-0.8-0-0-11436.out	ImageNetInceptionV2	adrb2	RMSprop	0.0005	30	0	0	0.8	0	0	0.75	0.58	0.8	0.75	0.75	18	6	30	6	0.97	0.83	0.79
convnetDUDE-ImageNetInceptionV2-kith-adam-0.0005-30-0-0-0.6-0-0-11669.out	ImageNetInceptionV2	kith	adam	0.0005	30	0	0	0.6	0	0	0.68	0.6	0.8	0.93	0.54	13	1	35	11	0.97	0.83	0.72
convnetDUDE-ImageNetInceptionV2-cdk2-RMSprop-0.0001-15-0-0-0.6-0-0-7783.out	ImageNetInceptionV2	cdk2	RMSprop	0.0001	15	0	0	0.6	0	0	0.81	0.67	0.83	0.75	0.88	21	7	29	3	0.14	0.86	0.82
convnetDUDE-CNNModel-lkha4-adam-0.0005-30-128-0-0.6-0-0-13949.out	CNNModel	lkha4	adam	0.0005	30	128	0	0.6	0	0	0.76	0.59	0.8	0.73	0.79	19	7	29	5	0.27	0.86	0.71
convnetDUDE-CNNModel-ptn1-adam-0.001-30-256-0-0.6-0-0-12903.out	CNNModel	ptn1	adam	0.001	30	256	0	0.6	0	0	0.61	0.53	0.77	0.92	0.46	11	1	35	13	0.99	0.79	0.76
convnetDUDE-ImageNetInceptionV2-jak2-RMSprop-0.0001-30-0-0-0.6-0-0-11767.out	ImageNetInceptionV2	jak2	RMSprop	0.0001	30	0	0	0.6	0	0	0.75	0.58	0.73	0.6	1	24	16	20	0	0.99	0.86	0.77
convnetDUDE-CNNModel-bace1-adam-0.001-30-256-0-0.6-0-0-12279.out	CNNModel	bace1	adam	0.001	30	256	0	0.6	0	0	0.71	0.5	0.73	0.61	0.87	20	13	23	3	0.38	0.8	0.73
convnetDUDE-ImageNetInceptionV2-cxcr4-adam-0.001-30-0-0-0.8-0-0-14452.out	ImageNetInceptionV2	cxcr4	adam	0.001	30	0	0	0.8	0	0	0.63	0.51	0.77	0.86	0.5	12	2	34	12	0.15	0.83	0.76
convnetDUDE-ImageNetInceptionV2-hmdh-adam-0.001-30-0-0-0.8-0-0-12628.out	ImageNetInceptionV2	hmdh	adam	0.001	30	0	0	0.8	0	0	0.76	0.59	0.78	0.68	0.88	21	10	26	3	0.36	0.84	0.78
convnetDUDE-ImageNetInceptionV2-ital-RMSprop-0.001-30-0-0-0.8-0-0-10234.out	ImageNetInceptionV2	ital	RMSprop	0.001	30	0	0	0.8	0	0	0.68	0.6	0.8	0.93	0.54	13	1	35	11	0.07	0.84	0.81
convnetDUDE-ImageNetInceptionV2-ada-RMSprop-0.0001-15-0-0-0.6-0-0-7639.out	ImageNetInceptionV2	ada	RMSprop	0.0001	15	0	0	0.6	0	0	0.68	0.48	0.75	0.7	0.67	16	7	29	8	0.38	0.81	0.73
convnetDUDE-CNNModel-fnta-adam-0.001-15-256-0-0.6-0-0-9639.out	CNNModel	fnta	adam	0.001	15	256	0	0.6	0	0	0.72	0.5	0.72	0.59	0.92	22	15	21	2	0.36	0.77	0.64
convnetDUDE-ImageNetInceptionV2-akt1-adam-0.0005-30-0-0-0.6-0-0-11717.out	ImageNetInceptionV2	akt1	adam	0.0005	30	0	0	0.6	0	0	0.63	0.58	0.78	1	0.46	11	0	36	13	0.43	0.78	0.78
convnetDUDE-ImageNetInceptionV2-pgh2-RMSprop-0.0001-30-0-0-0.8-0-0-12104.out	ImageNetInceptionV2	pgh2	RMSprop	0.0001	30	0	0	0.8	0	0	0.55	0.51	0.75	1	0.38	9	0	36	15	0.98	0.83	0.78
convnetDUDE-ImageNetInceptionV2-mcr-adam-0.0001-15-0-0-0.6-0-0-6673.out	ImageNetInceptionV2	mcr	adam	0.0001	15	0	0	0.6	0	0	0.78	0.62	0.82	0.76	0.79	19	6	30	5	0.54	0.87	0.81
convnetDUDE-ImageNetInceptionV2-xiap-adam-0.0005-30-0-0-0.8-0-0-13878.out	ImageNetInceptionV2	xiap	adam	0.0005	30	0	0	0.8	0	0	0.8	0.65	0.82	0.71	0.92	22	9	27	2	0.88	0.87	0.79
convnetDUDE-ImageNetInceptionV2-fabp4-adam-0.001-30-0-0-0.8-0-0-10660.out	ImageNetInceptionV2	fabp4	adam	0.001	30	0	0	0.8	0	0	0.57	0.46	0.75	0.83	0.43	10	2	34	13	0.03	0.76	0.7
convnetDUDE-ImageNetInceptionV2-aldr-RMSprop-0.0001-30-0-0-0.6-0-0-10327.out	ImageNetInceptionV2	aldr	RMSprop	0.0001	30	0	0	0.6	0	0	0.72	0.55	0.78	0.74	0.71	17	6	30	7	0.01	0.83	0.79
convnetDUDE-CNNModel-tysy-adam-0.001-30-128-0-0.6-0-0-13803.out	CNNModel	tysy	adam	0.001	30	128	0	0.6	0	0	0.7	0.47	0.65	0.53	1	24	21	15	0	0.27	0.78	0.7
convnetDUDE-ImageNetInceptionV2-hivint-adam-0.0001-15-0-0-0.6-0-0-5233.out	ImageNetInceptionV2	hivint	adam	0.0001	15	0	0	0.6	0	0	0.63	0.55	0.78	0.92	0.48	11	1	35	12	0.17	0.86	0.82
convnetDUDE-ImageNetInceptionV2-prgr-adam-0.001-30-0-0-0.8-0-0-11524.out	ImageNetInceptionV2	prgr	adam	0.001	30	0	0	0.8	0	0	0.74	0.58	0.8	0.77	0.71	17	5	31	7	0.94	0.84	0.82
convnetDUDE-ImageNetInceptionV2-casp3-adam-0.0005-30-0-0-0.6-0-0-12773.out	ImageNetInceptionV2	casp3	adam	0.0005	30	0	0	0.6	0	0	0.84	0.73	0.87	0.81	0.88	21	5	31	3	0.99	0.88	0.79
convnetDUDE-ImageNetInceptionV2-cah2-adam-0.001-30-0-0-0.6-0-0-13251.out	ImageNetInceptionV2	cah2	adam	0.001	30	0	0	0.6	0	0	0.34	0.37	0.68	1	0.21	5	0	36	19	0.07	0.8	0.75
convnetDUDE-ImageNetInceptionV2-hivrt-RMSprop-0.0001-30-0-0-0.6-0-0-13015.out	ImageNetInceptionV2	hivrt	RMSprop	0.0001	30	0	0	0.6	0	0	0.69	0.46	0.73	0.64	0.75	18	10	26	6	0.99	0.87	0.78
convnetDUDE-ImageNetInceptionV2-hivpr-adam-0.001-15-0-0-0.6-0-0-5715.out	ImageNetInceptionV2	hivpr	adam	0.001	15	0	0	0.6	0	0	0.78	0.62	0.78	0.66	0.96	23	12	24	1	0.25	0.87	0.75
convnetDUDE-ImageNetInceptionV2-adrb1-adam-0.0001-30-0-0-0.6-0-0-10753.out	ImageNetInceptionV2	adrb1	adam	0.0001	30	0	0	0.6	0	0	0.65	0.51	0.77	0.81	0.54	13	3	33	11	0.18	0.81	0.75
convnetDUDE-ImageNetInceptionV2-hdac8-adam-0.0001-15-0-0-0.8-0-0-4898.out	ImageNetInceptionV2	hdac8	adam	0.0001	15	0	0	0.8	0	0	0.78	0.65	0.83	0.82	0.75	18	4	32	6	0.77	0.87	0.85
convnetDUDE-ImageNetInceptionV2-esr2-adam-0.0005-30-0-0-0.6-0-0-12005.out	ImageNetInceptionV2	esr2	adam	0.0005	30	0	0	0.6	0	0	0.63	0.32	0.53	0.46	1	24	28	8	0	0.93	0.84	0.66
convnetDUDE-ImageNetInceptionV2-tgfr1-adam-0.0005-30-0-0-0.8-0-0-12054.out	ImageNetInceptionV2	tgfr1	adam	0.0005	30	0	0	0.8	0	0	0.7	0.64	0.82	1	0.54	13	0	36	11	0.85	0.81	0.82
convnetDUDE-ImageNetInceptionV2-nram-adam-0.0001-15-0-0-0.6-0-0-8785.out	ImageNetInceptionV2	nram	adam	0.0001	15	0	0	0.6	0	0	0.73	0.53	0.77	0.68	0.79	19	9	27	5	0.1	0.83	0.74
convnetDUDE-ImageNetInceptionV2-ppard-RMSprop-0.0005-30-0-0-0.8-0-0-10428.out	ImageNetInceptionV2	ppard	RMSprop	0.0005	30	0	0	0.8	0	0	0.8	0.74	0.87	1	0.67	16	0	36	8	0.93	0.86	0.88
convnetDUDE-ImageNetInceptionV2-egfr-adam-0.0001-15-0-0-0.6-0-0-8209.out	ImageNetInceptionV2	egfr	adam	0.0001	15	0	0	0.6	0	0	0.71	0.48	0.68	0.56	0.96	23	18	18	1	0.97	0.81	0.76
convnetDUDE-ImageNetInceptionV2-pnph-adam-0.001-15-0-0-0.6-0-0-5667.out	ImageNetInceptionV2	pnph	adam	0.001	15	0	0	0.6	0	0	0.71	0.48	0.7	0.58	0.92	22	16	20	2	0.25	0.78	0.7
convnetDUDE-ImageNetInceptionV2-aces-adam-0.001-30-0-0-0.6-0-0-14211.out	ImageNetInceptionV2	aces	adam	0.001	30	0	0	0.6	0	0	0.82	0.7	0.83	0.72	0.96	23	9	27	1	0.34	0.89	0.85
convnetDUDE-ImageNetInceptionV2-gria2-adam-0.0005-30-0-0-0.6-0-0-10373.out	ImageNetInceptionV2	gria2	adam	0.0005	30	0	0	0.6	0	0	0.61	0.53	0.77	0.92	0.46	11	1	35	13	0.94	0.81	0.78
convnetDUDE-ImageNetInceptionV2-fkb1a-adam-0.001-15-0-0-0.6-0-0-6243.out	ImageNetInceptionV2	fkb1a	adam	0.001	15	0	0	0.6	0	0	0.08	0.16	0.62	1	0.04	1	0	36	23	0.02	0.85	0.83
convnetDUDE-CNNModel-def-adam-0.001-30-32-0-0.8-0-0-11008.out	CNNModel	def	adam	0.001	30	32	0	0.8	0	0	0.77	0.62	0.82	0.78	0.75	18	5	31	6	0.34	0.82	0.79
convnetDUDE-ImageNetInceptionV2-kit-adam-0.0001-15-0-0-0.8-0-0-6194.out	ImageNetInceptionV2	kit	adam	0.0001	15	0	0	0.8	0	0	0.73	0.53	0.7	0.57	1	24	18	18	0	0.11	0.84	0.77
convnetDUDE-ImageNetInceptionV2-lck-adam-0.001-30-0-0-0.6-0-0-12435.out	ImageNetInceptionV2	lck	adam	0.001	30	0	0	0.6	0	0	0.65	0.38	0.58	0.48	1	23	25	11	0	0.94	0.81	0.76
convnetDUDE-CNNModel-mk14-adam-0.0005-30-128-0-0.6-0-0-12509.out	CNNModel	mk14	adam	0.0005	30	128	0	0.6	0	0	0.61	0.53	0.77	0.92	0.46	11	1	35	13	0.38	0.81	0.81
convnetDUDE-ImageNetInceptionV2-mk01-adam-0.001-15-0-0-0.6-0-0-6483.out	ImageNetInceptionV2	mk01	adam	0.001	15	0	0	0.6	0	0	0.72	0.51	0.7	0.57	0.96	23	17	19	1	0.98	0.8	0.64
convnetDUDE-CNNModel-akt2-adam-0.001-30-32-0-0.6-0-0-10047.out	CNNModel	akt2	adam	0.001	30	32	0	0.6	0	0	0.73	0.55	0.78	0.72	0.75	18	7	29	6	0.8	0.79	0.71
convnetDUDE-ImageNetInceptionV2-pyrd-adam-0.0001-30-0-0-0.6-0-0-12337.out	ImageNetInceptionV2	pyrd	adam	0.0001	30	0	0	0.6	0	0	0.65	0.53	0.78	0.86	0.52	12	2	34	11	0.25	0.82	0.77
convnetDUDE-ImageNetInceptionV2-wee1-adam-0.0001-15-0-0-0.8-0-0-8642.out	ImageNetInceptionV2	wee1	adam	0.0001	15	0	0	0.8	0	0	0.76	0.65	0.83	0.89	0.67	16	2	34	8	0.38	0.86	0.85
convnetDUDE-ImageNetInceptionV2-urok-adam-0.0005-15-0-0-0.8-0-0-6390.out	ImageNetInceptionV2	urok	adam	0.0005	15	0	0	0.8	0	0	0.69	0.48	0.75	0.68	0.71	17	8	28	7	0.09	0.79	0.68
convnetDUDE-ImageNetInceptionV2-thb-adam-0.001-15-0-0-0.6-0-0-5811.out	ImageNetInceptionV2	thb	adam	0.001	15	0	0	0.6	0	0	0.78	0.62	0.81	0.73	0.83	19	7	29	4	0.18	0.84	0.78
convnetDUDE-ImageNetInceptionV2-glcm-adam-0.001-30-0-0-0.8-0-0-14644.out	ImageNetInceptionV2	glcm	adam	0.001	30	0	0	0.8	0	0	0.82	0.72	0.87	0.9	0.75	18	2	34	6	0.95	0.87	0.79
convnetDUDE-ImageNetInceptionV2-dpp4-adam-0.0001-15-0-0-0.6-0-0-6001.out	ImageNetInceptionV2	dpp4	adam	0.0001	15	0	0	0.6	0	0	0.61	0.57	0.78	1	0.43	10	0	36	13	0.99	0.85	0.81
convnetDUDE-CNNModel-src-adam-0.0005-30-256-0-0.8-0-0-13530.out	CNNModel	src	adam	0.0005	30	256	0	0.8	0	0	0.79	0.69	0.85	0.89	0.71	17	2	34	7	0.94	0.84	0.8
convnetDUDE-ImageNetInceptionV2-aa2ar-adam-0.0001-15-0-0-0.8-0-0-6914.out	ImageNetInceptionV2	aa2ar	adam	0.0001	15	0	0	0.8	0	0	0.72	0.63	0.82	0.93	0.58	14	1	35	10	0.81	0.84	0.82
convnetDUDE-ImageNetInceptionV2-abl1-adam-0.0005-15-0-0-0.6-0-0-6293.out	ImageNetInceptionV2	abl1	adam	0.0005	15	0	0	0.6	0	0	0.81	0.71	0.86	0.89	0.74	17	2	34	6	0.1	0.84	0.86
convnetDUDE-ImageNetInceptionV2-rxra-adam-0.0005-30-0-0-0.6-0-0-10949.out	ImageNetInceptionV2	rxra	adam	0.0005	30	0	0	0.6	0	0	0.79	0.64	0.82	0.72	0.88	21	8	28	3	0.33	0.86	0.82
convnetDUDE-ImageNetInceptionV2-pur2-adam-0.0005-15-0-0-0.6-0-0-6341.out	ImageNetInceptionV2	pur2	adam	0.0005	15	0	0	0.6	0	0	0.69	0.48	0.75	0.68	0.71	17	8	28	7	0.58	0.82	0.73
convnetDUDE-ImageNetInceptionV2-cp2c9-adam-0.0005-30-0-0-0.6-0-0-11621.out	ImageNetInceptionV2	cp2c9	adam	0.0005	30	0	0	0.6	0	0	0.65	0.51	0.77	0.81	0.54	13	3	33	11	0.97	0.82	0.76
convnetDUDE-ImageNetInceptionV2-fa7-RMSprop-0.0005-30-0-0-0.6-0-0-10859.out	ImageNetInceptionV2	fa7	RMSprop	0.0005	30	0	0	0.6	0	0	0.71	0.48	0.72	0.6	0.88	21	14	22	3	0.99	0.82	0.81
convnetDUDE-ImageNetInceptionV2-rock1-adam-0.0005-15-0-0-0.8-0-0-7062.out	ImageNetInceptionV2	rock1	adam	0.0005	15	0	0	0.8	0	0	0.47	0.46	0.73	1	0.3	7	0	36	16	0.83	0.78	0.73
convnetDUDE-ImageNetInceptionV2-esr1-RMSprop-0.0001-30-0-0-0.8-0-0-14168.out	ImageNetInceptionV2	esr1	RMSprop	0.0001	30	0	0	0.8	0	0	0.7	0.58	0.8	0.88	0.58	14	2	34	10	0.01	0.81	0.8
convnetDUDE-CNNModel-sahh-adam-0.0005-30-32-0-0.8-0-0-11490.out	CNNModel	sahh	adam	0.0005	30	32	0	0.8	0	0	0.75	0.66	0.83	0.94	0.62	15	1	35	9	0.89	0.84	0.83
convnetDUDE-ImageNetInceptionV2-mp2k1-adam-0.0005-15-0-0-0.8-0-0-6150.out	ImageNetInceptionV2	mp2k1	adam	0.0005	15	0	0	0.8	0	0	0.68	0.54	0.78	0.82	0.58	14	3	33	10	0.91	0.84	0.81
convnetDUDE-ImageNetInceptionV2-mmp13-RMSprop-0.0001-15-0-0-0.8-0-0-5192.out	ImageNetInceptionV2	mmp13	RMSprop	0.0001	15	0	0	0.8	0	0	0.7	0.51	0.7	0.56	0.95	20	16	20	1	0.43	0.82	0.77
convnetDUDE-ImageNetInceptionV2-mk10-adam-0.0001-30-0-0-0.6-0-0-11329.out	ImageNetInceptionV2	mk10	adam	0.0001	30	0	0	0.6	0	0	0.61	0.53	0.77	0.92	0.46	11	1	35	13	0.49	0.74	0.76
convnetDUDE-ImageNetInceptionV2-met-adam-0.0005-15-0-0-0.8-0-0-9222.out	ImageNetInceptionV2	met	adam	0.0005	15	0	0	0.8	0	0	0.74	0.56	0.72	0.59	1	24	17	19	0	0.74	0.81	0.71
convnetDUDE-ImageNetInceptionV2-try1-RMSprop-0.001-30-0-0-0.8-0-0-14362.out	ImageNetInceptionV2	try1	RMSprop	0.001	30	0	0	0.8	0	0	0.78	0.64	0.78	0.64	1	23	13	23	0	0.99	0.87	0.71
convnetDUDE-CNNModel-thrb-adam-0.001-30-32-0-0.6-0-0-12207.out	CNNModel	thrb	adam	0.001	30	32	0	0.6	0	0	0.72	0.51	0.73	0.62	0.88	21	13	23	3	0.43	0.78	0.75
convnetDUDE-ImageNetInceptionV2-comt-adam-0.0005-30-0-0-0.8-0-0-12822.out	ImageNetInceptionV2	comt	adam	0.0005	30	0	0	0.8	0	0	0.77	0.62	0.76	0.62	1	23	14	22	0	0.97	0.85	0.75
convnetDUDE-ImageNetInceptionV2-fak1-adam-0.0001-15-0-0-0.6-0-0-7009.out	ImageNetInceptionV2	fak1	adam	0.0001	15	0	0	0.6	0	0	0.71	0.54	0.78	0.76	0.67	16	5	31	8	0.63	0.81	0.79
convnetDUDE-ImageNetInceptionV2-pa2ga-adam-0.0005-30-0-0-0.8-0-0-9990.out	ImageNetInceptionV2	pa2ga	adam	0.0005	30	0	0	0.8	0	0	0.7	0.51	0.77	0.73	0.67	16	6	30	8	0.81	0.8	0.77
convnetDUDE-ImageNetInceptionV2-braf-adam-0.001-30-0-0-0.8-0-0-12916.out	ImageNetInceptionV2	braf	adam	0.001	30	0	0	0.8	0	0	0.72	0.5	0.72	0.59	0.92	22	15	21	2	0.86	0.78	0.63
convnetDUDE-ImageNetInceptionV2-hs90a-adam-0.0005-15-0-0-0.6-0-0-9173.out	ImageNetInceptionV2	hs90a	adam	0.0005	15	0	0	0.6	0	0	0.71	0.49	0.67	0.55	1	24	20	16	0	0.87	0.84	0.78
convnetDUDE-CNNModel-vgfr2-adam-0.0005-30-32-0-0.6-0-0-10817.out	CNNModel	vgfr2	adam	0.0005	30	32	0	0.6	0	0	0.78	0.69	0.85	0.94	0.67	16	1	35	8	0.3	0.88	0.8
convnetDUDE-ImageNetInceptionV2-csf1r-adam-0.0005-30-0-0-0.8-0-0-14262.out	ImageNetInceptionV2	csf1r	adam	0.0005	30	0	0	0.8	0	0	0.71	0.54	0.78	0.76	0.67	16	5	31	8	0.25	0.82	0.8
convnetDUDE-ImageNetInceptionV2-dhi1-RMSprop-0.0001-15-0-0-0.8-0-0-5576.out	ImageNetInceptionV2	dhi1	RMSprop	0.0001	15	0	0	0.8	0	0	0.55	0.47	0.75	0.9	0.39	9	1	35	14	0.69	0.78	0.76
convnetDUDE-CNNModel-pygm-adam-0.001-30-32-0-0.8-0-0-12304.out	CNNModel	pygm	adam	0.001	30	32	0	0.8	0	0	0.72	0.61	0.81	0.88	0.61	14	2	34	9	0.75	0.84	0.83
convnetDUDE-ImageNetInceptionV2-drd3-adam-0.0005-30-0-0-0.6-0-0-12725.out	ImageNetInceptionV2	drd3	adam	0.0005	30	0	0	0.6	0	0	0.62	0.47	0.75	0.8	0.5	12	3	33	12	0.01	0.79	0.77
convnetDUDE-ImageNetInceptionV2-reni-adam-0.0001-30-0-0-0.6-0-0-14017.out	ImageNetInceptionV2	reni	adam	0.0001	30	0	0	0.6	0	0	0.67	0.55	0.78	0.87	0.54	13	2	34	11	0.62	0.79	0.78
convnetDUDE-ImageNetInceptionV2-dyr-adam-0.0001-30-0-0-0.8-0-0-13298.out	ImageNetInceptionV2	dyr	adam	0.0001	30	0	0	0.8	0	0	0.79	0.65	0.83	0.79	0.79	19	5	31	5	0.88	0.87	0.86
convnetDUDE-ImageNetInceptionV2-tryb1-adam-0.0001-30-0-0-0.8-0-0-13154.out	ImageNetInceptionV2	tryb1	adam	0.0001	30	0	0	0.8	0	0	0.8	0.65	0.83	0.77	0.83	20	6	29	4	0.02	0.86	0.83
convnetDUDE-ImageNetInceptionV2-ampc-adam-0.0005-30-0-0-0.6-0-0-10181.out	ImageNetInceptionV2	ampc	adam	0.0005	30	0	0	0.6	0	0	0.67	0.47	0.75	0.71	0.62	15	6	30	9	0.07	0.81	0.75
convnetDUDE-ImageNetInceptionV2-kif11-adam-0.0001-15-0-0-0.6-0-0-5617.out	ImageNetInceptionV2	kif11	adam	0.0001	15	0	0	0.6	0	0	0.68	0.55	0.79	0.81	0.59	13	3	33	9	0.97	0.79	0.78
convnetDUDE-CNNModel-igf1r-adam-0.0005-30-128-0-0.6-0-0-9917.out	CNNModel	igf1r	adam	0.0005	30	128	0	0.6	0	0	0.73	0.52	0.75	0.65	0.83	20	11	25	4	0.14	0.82	0.71
convnetDUDE-ImageNetInceptionV2-pde5a-adam-0.001-30-0-0-0.8-0-0-13204.out	ImageNetInceptionV2	pde5a	adam	0.001	30	0	0	0.8	0	0	0.76	0.58	0.77	0.65	0.92	22	12	24	2	0.33	0.84	0.76
convnetDUDE-ImageNetInceptionV2-andr-adam-0.0005-15-0-0-0.6-0-0-8741.out	ImageNetInceptionV2	andr	adam	0.0005	15	0	0	0.6	0	0	0.8	0.65	0.82	0.71	0.92	22	9	27	2	0.11	0.86	0.82
convnetDUDE-ImageNetInceptionV2-fa10-adam-0.0001-30-0-0-0.6-0-0-13585.out	ImageNetInceptionV2	fa10	adam	0.0001	30	0	0	0.6	0	0	0.61	0.53	0.77	0.92	0.46	11	1	35	13	0.05	0.82	0.8
convnetDUDE-ImageNetInceptionV2-cp3a4-adam-0.001-30-0-0-0.8-0-0-12148.out	ImageNetInceptionV2	cp3a4	adam	0.001	30	0	0	0.8	0	0	0.73	0.53	0.73	0.61	0.92	22	14	22	2	0.58	0.81	0.74
