CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL1824	188	Receptor protein-tyrosine kinase erbB-2	P04626	SINGLE PROTEIN	Homo sapiens	4852	6706
CHEMBL1826	37	DNA gyrase subunit B	P0AES6	SINGLE PROTEIN	Escherichia coli K-12	50	118
CHEMBL1837	264	Trypanothione reductase	P39051	SINGLE PROTEIN	Trypanosoma brucei brucei	132	161
CHEMBL1900	242	Aldose reductase	P15121	SINGLE PROTEIN	Homo sapiens	843	1146
CHEMBL1910	14	Adenosine deaminase	P00813	SINGLE PROTEIN	Homo sapiens	85	120
CHEMBL1914	10532	Butyrylcholinesterase	P06276	SINGLE PROTEIN	Homo sapiens	2892	3973
CHEMBL1939	70	Dihydrofolate reductase	P13922	SINGLE PROTEIN	Plasmodium falciparum K1	157	1753
CHEMBL1949	180	Cyclophilin A	P62937	SINGLE PROTEIN	Homo sapiens	328	583
CHEMBL1966	157	Dihydroorotate dehydrogenase	Q02127	SINGLE PROTEIN	Homo sapiens	1259	1694
CHEMBL1969	39	Tyrosine 3-hydroxylase	P07101	SINGLE PROTEIN	Homo sapiens	8	8
CHEMBL1973	73	Tyrosinase	P14679	SINGLE PROTEIN	Homo sapiens	232	352
CHEMBL1974	12670	Tyrosine-protein kinase receptor FLT3	P36888	SINGLE PROTEIN	Homo sapiens	4650	8101
CHEMBL1984	109	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	P0A749	SINGLE PROTEIN	Escherichia coli K-12	70	94
CHEMBL1988	244	Atrial natriuretic peptide receptor A	P16066	SINGLE PROTEIN	Homo sapiens	76	78
CHEMBL2007	12627	Platelet-derived growth factor receptor alpha	P16234	SINGLE PROTEIN	Homo sapiens	1661	4621
CHEMBL2016	193	Coagulation factor IX	P00740	SINGLE PROTEIN	Homo sapiens	741	794
CHEMBL220	93	Acetylcholinesterase	P22303	SINGLE PROTEIN	Homo sapiens	6227	11265
CHEMBL279	10980	Vascular endothelial growth factor receptor 2	P35968	SINGLE PROTEIN	Homo sapiens	11693	17660
CHEMBL2030	327	D-alanylalanine synthetase	P9WP31	SINGLE PROTEIN	Mycobacterium tuberculosis	1	4
CHEMBL2074	1	Maltase-glucoamylase	O43451	SINGLE PROTEIN	Homo sapiens	291	343
CHEMBL2100	10377	Glutathione S-transferase Mu 4	Q03013	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2113	10497	Cathepsin L	P25975	SINGLE PROTEIN	Bos taurus	58	58
CHEMBL2136	10019	Pepsinogen C	P20142	SINGLE PROTEIN	Homo sapiens	49	51
CHEMBL2159	10049	Nucleoside diphosphate kinase 1	P15531	SINGLE PROTEIN	Homo sapiens	4	11
CHEMBL2172	10255	Leukotriene C4 synthase	Q925U2	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL2208	11082	MAP kinase-activated protein kinase 2	P49137	SINGLE PROTEIN	Homo sapiens	3122	4203
CHEMBL2211	100818	Serine/threonine-protein kinase Aurora-A	P97477	SINGLE PROTEIN	Mus musculus	5	10
CHEMBL2213	12263	Protein kinase C alpha	P04409	SINGLE PROTEIN	Bos taurus	47	47
CHEMBL2241	11282	Glutathione S-transferase A2	P09210	SINGLE PROTEIN	Homo sapiens	39	52
CHEMBL3120	11666	Asparagine synthetase	P08243	SINGLE PROTEIN	Homo sapiens	10	39
CHEMBL3169	12869	Inosine-5'-monophosphate dehydrogenase 2	P24547	SINGLE PROTEIN	Mus musculus	19	19
CHEMBL3175	11683	Topoisomerase (DNA) II binding protein 1	Q92547	SINGLE PROTEIN	Homo sapiens	18	18
CHEMBL3199	10667	Acetylcholinesterase	P37136	SINGLE PROTEIN	Rattus norvegicus	1459	2173
CHEMBL3235	11787	Isoleucyl-tRNA synthetase	P41252	SINGLE PROTEIN	Homo sapiens	77	98
CHEMBL3248	12451	Trehalase	O70282	SINGLE PROTEIN	Rattus norvegicus	25	42
CHEMBL3264	12893	ATP-citrate synthase	Q91V92	SINGLE PROTEIN	Mus musculus	1	7
CHEMBL3286	11942	Urokinase-type plasminogen activator	P00749	SINGLE PROTEIN	Homo sapiens	1524	1800
CHEMBL3289	12426	Arachidonate 15-lipoxygenase, type II	Q8K4F2	SINGLE PROTEIN	Rattus norvegicus	10	10
CHEMBL2599	10906	Tyrosine-protein kinase SYK	P43405	SINGLE PROTEIN	Homo sapiens	4865	7930
CHEMBL2611	11402	Furin	P09958	SINGLE PROTEIN	Homo sapiens	460	511
CHEMBL2625	12568	Angiotensin-converting enzyme	P47820	SINGLE PROTEIN	Rattus norvegicus	578	1065
CHEMBL299	11635	Protein kinase C alpha	P17252	SINGLE PROTEIN	Homo sapiens	3360	5248
CHEMBL2635	11160	Dual specificity protein phosphatase 3	P51452	SINGLE PROTEIN	Homo sapiens	843	1077
CHEMBL2643	11712	Nitric-oxide synthase, endothelial	P70313	SINGLE PROTEIN	Mus musculus	40	40
CHEMBL2729	17051	Alkaline phosphatase tissue-nonspecific	P08289	SINGLE PROTEIN	Rattus norvegicus	78	89
CHEMBL2755	12642	Glutathione reductase	P00390	SINGLE PROTEIN	Homo sapiens	241	318
CHEMBL2756	12232	Monoamine oxidase B	P56560	SINGLE PROTEIN	Bos taurus	566	894
CHEMBL2766	11227	Ectonucleoside triphosphate diphosphohydrolase 1	O18956	SINGLE PROTEIN	Bos taurus	15	16
CHEMBL2783	12648	Cyclin-dependent kinase 5 regulatory subunit 1	Q15078	SINGLE PROTEIN	Homo sapiens	7	7
CHEMBL2789	13053	Estradiol 17-beta-dehydrogenase 2	P37059	SINGLE PROTEIN	Homo sapiens	996	1307
CHEMBL2815	11902	Nerve growth factor receptor Trk-A	P04629	SINGLE PROTEIN	Homo sapiens	4399	6156
CHEMBL2835	10919	Tyrosine-protein kinase JAK1	P23458	SINGLE PROTEIN	Homo sapiens	4951	7206
CHEMBL2838	11033	S-adenosylmethionine synthetase gamma form	P18298	SINGLE PROTEIN	Rattus norvegicus	37	83
CHEMBL2855	12454	Protein kinase C alpha	P05696	SINGLE PROTEIN	Rattus norvegicus	21	29
CHEMBL2896	11018	cGMP-dependent protein kinase 2	Q13237	SINGLE PROTEIN	Homo sapiens	1001	1428
CHEMBL2966	12159	Adenosine deaminase	P56658	SINGLE PROTEIN	Bos taurus	496	693
CHEMBL2976	11618	Protein-tyrosine phosphatase 1E	Q12923	SINGLE PROTEIN	Homo sapiens	57	66
CHEMBL2981	17141	Carnitine palmitoyltransferase 1A	Q9MYX2	SINGLE PROTEIN	Sus scrofa	14	14
CHEMBL2988	17071	Cholesterol esterase	P30122	SINGLE PROTEIN	Bos taurus	43	67
CHEMBL312	12166	Arachidonate 5-lipoxygenase	P12527	SINGLE PROTEIN	Rattus norvegicus	2034	2784
CHEMBL3007	17057	Alcohol sulfotransferase	P15709	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL3017	12137	Diamine oxidase-like protein 2	Q6IMK5	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL3020	12133	Protein kinase C beta	P68403	SINGLE PROTEIN	Rattus norvegicus	2	4
CHEMBL3057	13082	Cytochrome P450 2D3	P12938	SINGLE PROTEIN	Rattus norvegicus	11	11
CHEMBL3062	10856	Myosin light chain kinase, smooth muscle	P11799	SINGLE PROTEIN	Gallus gallus	157	167
CHEMBL3092	11722	Cathepsin E	P14091	SINGLE PROTEIN	Homo sapiens	118	140
CHEMBL3789	100314	Glutamine synthetase	P0A9C5	SINGLE PROTEIN	Escherichia coli K-12	7	21
CHEMBL3813	11107	Dipeptidyl peptidase IV	P22411	SINGLE PROTEIN	Sus scrofa	116	151
CHEMBL3830	30000	Adaptor-associated kinase	Q2M2I8	SINGLE PROTEIN	Homo sapiens	143	204
CHEMBL3831	30001	MAP/microtubule affinity-regulating kinase 2	Q7KZI7	SINGLE PROTEIN	Homo sapiens	1418	2045
CHEMBL3898	10144	Bone morphogenetic protein 1	P13497	SINGLE PROTEIN	Homo sapiens	409	428
CHEMBL3903	11274	Beta-mannosidase	O00462	SINGLE PROTEIN	Homo sapiens	52	54
CHEMBL290	11395	Phosphodiesterase 3B	Q13370	SINGLE PROTEIN	Homo sapiens	188	232
CHEMBL3929	20037	Coagulation factor X	O77669	SINGLE PROTEIN	Canis lupus familiaris	2	2
CHEMBL3937	100576	Bovine viral diarrhoea virus polyprotein	Q96662	SINGLE PROTEIN	Bovine viral diarrhea virus (strain CP7) (BVDV) (Mucosal diseasevirus)	2	2
CHEMBL3335	17028	Cytochrome P450 2B1	P00176	SINGLE PROTEIN	Rattus norvegicus	110	145
CHEMBL3348	20088	Heme oxygenase 2	P23711	SINGLE PROTEIN	Rattus norvegicus	133	161
CHEMBL3379	10743	Cytochrome P450 4F2	P78329	SINGLE PROTEIN	Homo sapiens	16	24
CHEMBL3383	11632	Carboxylesterase	Q29550	SINGLE PROTEIN	Sus scrofa	100	141
CHEMBL3421	10177	Phosphodiesterase 1A	P54750	SINGLE PROTEIN	Homo sapiens	82	111
CHEMBL3423	10062	Methionine aminopeptidase	P0AE18	SINGLE PROTEIN	Escherichia coli K-12	250	444
CHEMBL3445	17003	Glucose-6-phosphate dehydrogenase	Q5EM56	SINGLE PROTEIN	Bos taurus	5	5
CHEMBL3478	10602	Phosphodiesterase 5A	Q28156	SINGLE PROTEIN	Bos taurus	240	264
CHEMBL3481	12938	Carboxypeptidase A1	P00730	SINGLE PROTEIN	Bos taurus	127	144
CHEMBL3499	17117	Beta-lactamase class C	Q59401	SINGLE PROTEIN	Enterobacter cloacae	43	68
CHEMBL3510	11063	Carbonic anhydrase XIV	Q9ULX7	SINGLE PROTEIN	Homo sapiens	683	857
CHEMBL3530	12919	Dual specificity mitogen-activated protein kinase kinase 7	O14733	SINGLE PROTEIN	Homo sapiens	436	616
CHEMBL3545	100591	Alpha-L-fucosidase 1	Q2KIM0	SINGLE PROTEIN	Bos taurus	193	221
CHEMBL3568	11037	Nitric-oxide synthase, brain	P29475	SINGLE PROTEIN	Homo sapiens	1305	1666
CHEMBL3586	18057	DNA topoisomerase II alpha	Q01320	SINGLE PROTEIN	Mus musculus	25	26
CHEMBL3619	12866	UDP-glucuronosyltransferase 1A4	P22310	SINGLE PROTEIN	Homo sapiens	195	272
CHEMBL3652	17125	Beta-lactamase TEM	Q6W9J1	SINGLE PROTEIN	Enterobacter cloacae	51	67
CHEMBL3655	17033	Tyrosine-protein kinase SRC	P00523	SINGLE PROTEIN	Gallus gallus	360	421
CHEMBL3670	11423	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II	P26439	SINGLE PROTEIN	Homo sapiens	3	3
CHEMBL3680	17139	Inducible nitric oxide synthase	Q9BDP5	SINGLE PROTEIN	Bos taurus	1	1
CHEMBL3687	11134	Arachidonate 12-lipoxygenase	P18054	SINGLE PROTEIN	Homo sapiens	3025	3239
CHEMBL3691	100594	Autotaxin	Q13822	SINGLE PROTEIN	Homo sapiens	951	1566
CHEMBL3693	100596	Farnesyl pyrophosphate synthase	Q0GKD7	SINGLE PROTEIN	Leishmania donovani	66	85
CHEMBL3712	12155	Cystinyl aminopeptidase	P97629	SINGLE PROTEIN	Rattus norvegicus	18	31
CHEMBL3730	13054	Dihydropteridine reductase	P09417	SINGLE PROTEIN	Homo sapiens	25	29
CHEMBL288	11359	Phosphodiesterase 4D	Q08499	SINGLE PROTEIN	Homo sapiens	940	1299
CHEMBL3774	13049	Phosphodiesterase 1A	P14100	SINGLE PROTEIN	Bos taurus	21	21
CHEMBL3963	10456	Dihydrofolate reductase	Q27713	SINGLE PROTEIN	Plasmodium berghei str. ANKA	36	43
CHEMBL3972	12291	GAR transformylase	P22102	SINGLE PROTEIN	Homo sapiens	148	432
CHEMBL4032	12119	Dihydropteroate synthase	P0AC13	SINGLE PROTEIN	Escherichia coli K-12	101	129
CHEMBL4039	10223	Choline acetylase	P28329	SINGLE PROTEIN	Homo sapiens	58	62
CHEMBL4056	11867	Alpha-mannosidase 2A1	Q16706	SINGLE PROTEIN	Homo sapiens	30	30
CHEMBL4063	11604	Esterase D	Q9GJT2	SINGLE PROTEIN	Sus scrofa	20	28
CHEMBL4095	20118	Casein kinase II beta	P67871	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL4121	10396	CaM kinase II beta	Q13554	SINGLE PROTEIN	Homo sapiens	1029	1351
CHEMBL4166	100598	NADP-dependent leukotriene B4 12-hydroxydehydrogenase	P97584	SINGLE PROTEIN	Rattus norvegicus	4	8
CHEMBL4194	100224	Alpha-galactosidase	Q5DUH8	SINGLE PROTEIN	Coffea arabica	39	39
CHEMBL4200	100464	Group X secretory phospholipase A2	Q9QXX3	SINGLE PROTEIN	Mus musculus	38	39
CHEMBL4201	100465	Group IIE secretory phospholipase A2	Q9QUL3	SINGLE PROTEIN	Mus musculus	17	18
CHEMBL4202	30035	Serine/threonine-protein kinase 2	Q9H2G2	SINGLE PROTEIN	Homo sapiens	911	997
CHEMBL4224	30013	Dual specificty protein kinase CLK1	P49759	SINGLE PROTEIN	Homo sapiens	897	1011
CHEMBL4229	100220	Hydroxyacid oxidase 1	Q9UJM8	SINGLE PROTEIN	Homo sapiens	15	15
CHEMBL4232	11471	Spermidine synthase	P19623	SINGLE PROTEIN	Homo sapiens	10	13
CHEMBL4247	100417	ALK tyrosine kinase receptor	Q9UM73	SINGLE PROTEIN	Homo sapiens	3149	4774
CHEMBL4264	18007	24-sterol C-methyltransferase	Q9LM02	SINGLE PROTEIN	Arabidopsis thaliana	71	126
CHEMBL4268	100045	Penicillin-binding protein 1	Q53725	SINGLE PROTEIN	Staphylococcus aureus	19	19
CHEMBL4274	11020	Mevalonate kinase	P17256	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL4313	100775	Aminoglycoside acetyltransferase	Q70E71	SINGLE PROTEIN	Enterococcus durans	17	17
CHEMBL4319	13018	UDP-N-acetylmuramoylalanine-D-glutamyl-lysine-D-alanyl-D-alanine ligase	Q8DNV6	SINGLE PROTEIN	Streptococcus pneumoniae R6	46	72
CHEMBL4650	10595	Phosphodiesterase 2A	Q01062	SINGLE PROTEIN	Rattus norvegicus	44	49
CHEMBL4657	20151	Dipeptidyl peptidase VIII	Q6V1X1	SINGLE PROTEIN	Homo sapiens	1848	2034
CHEMBL4658	100620	Beta-xylosidase	P36906	SINGLE PROTEIN	Thermoanaerobacterium saccharolyticum	2	2
CHEMBL4662	100624	Proteasome Macropain subunit MB1	P28074	SINGLE PROTEIN	Homo sapiens	484	896
CHEMBL4663	100625	Beta-glucosidase	P27034	SINGLE PROTEIN	Agrobacterium tumefaciens	10	11
CHEMBL4665	100829	Thymidylate synthase	P0CS13	SINGLE PROTEIN	Cryptococcus neoformans var. neoformans B-3501A	18	18
CHEMBL4675	12998	Tripeptidyl aminopeptidase	Q64560	SINGLE PROTEIN	Rattus norvegicus	138	141
CHEMBL4680	100480	3-dehydroquinate dehydratase	Q48255	SINGLE PROTEIN	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori)	27	43
CHEMBL4681	100481	Aldo-keto-reductase family 1 member C3	P42330	SINGLE PROTEIN	Homo sapiens	651	1020
CHEMBL4683	100186	Fibroblast activation protein alpha	Q12884	SINGLE PROTEIN	Homo sapiens	546	602
CHEMBL4684	100190	Mannosyl-oligosaccharide glucosidase	Q13724	SINGLE PROTEIN	Homo sapiens	8	8
CHEMBL4706	10221	Carbonic anhydrase II	P27139	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL4732	100644	UDP-N-acetylmuramoylalanine--D-glutamate ligase	P14900	SINGLE PROTEIN	Escherichia coli K-12	66	81
CHEMBL4332	11588	Quinone oxidoreductase	P47199	SINGLE PROTEIN	Mus musculus	189	261
CHEMBL4340	12698	Mevalonate pyrophosphate decarboxylase	P53602	SINGLE PROTEIN	Homo sapiens	6	7
CHEMBL4373	100640	CpG DNA methylase	P15840	SINGLE PROTEIN	Spiroplasma monobiae	36	38
CHEMBL4376	100790	Dual-specificity tyrosine-phosphorylation regulated kinase 2	Q92630	SINGLE PROTEIN	Homo sapiens	887	1491
CHEMBL4394	11882	Sphingosine kinase 1	Q9NYA1	SINGLE PROTEIN	Homo sapiens	974	1530
CHEMBL612409	100267	Anti-estrogen binding site (AEBS)	Q15125, Q9UBM7	PROTEIN COMPLEX	Homo sapiens	68	121
CHEMBL4428	13056	Prostaglandin I2 synthase	Q16647	SINGLE PROTEIN	Homo sapiens	90	98
CHEMBL4442	12828	Cyclin-dependent kinase 3	Q00526	SINGLE PROTEIN	Homo sapiens	118	160
CHEMBL4445	12579	Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform	Q08209	SINGLE PROTEIN	Homo sapiens	907	1793
CHEMBL4448	12585	Kallikrein 6	Q92876	SINGLE PROTEIN	Homo sapiens	35	35
CHEMBL4450	100243	UDP-galactopyranose mutase	P9WIQ1	SINGLE PROTEIN	Mycobacterium tuberculosis	122	122
CHEMBL4454	100127	Tyrosine-protein kinase FGR	P09769	SINGLE PROTEIN	Homo sapiens	762	1402
CHEMBL4515	100844	Serine/threonine-protein kinase BUD32	P53323	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	5	5
CHEMBL4525	30045	Serine/threonine-protein kinase 17A	Q9UEE5	SINGLE PROTEIN	Homo sapiens	1059	1391
CHEMBL4527	30047	TRAF2- and NCK-interacting kinase	Q9UKE5	SINGLE PROTEIN	Homo sapiens	417	646
CHEMBL4542	100602	Probable low molecular weight protein-tyrosine-phosphatase	P9WIA1	SINGLE PROTEIN	Mycobacterium tuberculosis	207	285
CHEMBL4580	100293	Thymidine kinase, mitochondrial	O00142	SINGLE PROTEIN	Homo sapiens	78	96
CHEMBL4598	30024	Serine/threonine-protein kinase MST1	Q13043	SINGLE PROTEIN	Homo sapiens	822	1510
CHEMBL4763	10020	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform	Q15172	SINGLE PROTEIN	Homo sapiens	8	8
CHEMBL4782	10440	Beta-lactamase	P80298	SINGLE PROTEIN	Proteus vulgaris	42	42
CHEMBL4789	11042	Carbonic anhydrase VA	P35218	SINGLE PROTEIN	Homo sapiens	423	588
CHEMBL4790	10952	Vacuolar ATP synthase subunit S1	Q15904	SINGLE PROTEIN	Homo sapiens	33	39
CHEMBL4809	10825	Tryptophan 5-monooxygenase 1	P09810	SINGLE PROTEIN	Rattus norvegicus	83	158
CHEMBL4810	10832	Terminal deoxynucleotidyltransferase	P04053	SINGLE PROTEIN	Homo sapiens	70	76
CHEMBL4814	10676	Beta-glucuronidase	P06760	SINGLE PROTEIN	Rattus norvegicus	8	8
CHEMBL4888	13019	Dihydrofolate reductase	Q8Z9J9	SINGLE PROTEIN	Salmonella enterica subsp. enterica serovar Typhi	58	59
CHEMBL4897	100412	Serine/threonine-protein kinase PLK3	Q9H4B4	SINGLE PROTEIN	Homo sapiens	1284	1546
CHEMBL4901	100416	Ephrin type-B receptor 3	P54753	SINGLE PROTEIN	Homo sapiens	772	1385
CHEMBL4903	100627	Low molecular weight phosphotyrosine protein phosphatase	P24666	SINGLE PROTEIN	Homo sapiens	510	990
CHEMBL4940	10199	L-lactate dehydrogenase B chain	P07195	SINGLE PROTEIN	Homo sapiens	131	157
CHEMBL4948	10371	Dual specificity mitogen-activated protein kinase kinase 5	Q13163	SINGLE PROTEIN	Homo sapiens	121	148
CHEMBL4954	30009	Ephrin type-A receptor 3	P29320	SINGLE PROTEIN	Homo sapiens	722	1346
CHEMBL4967	100068	NF-kappa-B essential modulator	Q9Y6K9	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL4970	100120	Cytochrome P450 11B1	P15393	SINGLE PROTEIN	Rattus norvegicus	39	44
CHEMBL4976	10090	Peptide deformylase	P0A6K3	SINGLE PROTEIN	Escherichia coli K-12	2	2
CHEMBL5010	101262	Monoacylglycerol lipase ABHD6	Q8R2Y0	SINGLE PROTEIN	Mus musculus	77	114
CHEMBL5031	18040	Beta-lactamase	P24735	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	119	396
CHEMBL5041	101042	Beta-lactamase TEM-125	Q6GWS8	SINGLE PROTEIN	Escherichia coli	3	3
CHEMBL5061	20022	Glutathione reductase	O15770	SINGLE PROTEIN	Plasmodium falciparum 3D7	18	26
CHEMBL5063	11384	Hexokinase type II	P27881	SINGLE PROTEIN	Rattus norvegicus	32	49
CHEMBL5072	30020	Ephrin type-B receptor 1	P54762	SINGLE PROTEIN	Homo sapiens	345	597
CHEMBL5074	100052	Human immunodeficiency virus type 2 pol protein	P88142	SINGLE PROTEIN	Human immunodeficiency virus 2	30	31
CHEMBL5223	101121	Farnesyltransferase, putative	Q4Q5W4	SINGLE PROTEIN	Leishmania major	55	55
CHEMBL5108	18060	Platelet-activating factor acetylhydrolase IB gamma subunit	Q15102	SINGLE PROTEIN	Homo sapiens	3	3
CHEMBL5159	101094	DNA polymerase iota	Q6R3M4	SINGLE PROTEIN	Mus musculus	8	18
CHEMBL5265	101135	DNA topoisomerase 1	Q7YR26	SINGLE PROTEIN	Chlorocebus aethiops	4	4
CHEMBL5273	100905	Glycogen debranching enzyme	P35574	SINGLE PROTEIN	Oryctolagus cuniculus	11	11
CHEMBL5285	30034	Mitogen-activated protein kinase kinase kinase 5	Q99683	SINGLE PROTEIN	Homo sapiens	639	1072
CHEMBL5303	101149	PER-2 beta-lactamase	A2RP81	SINGLE PROTEIN	Citrobacter freundii	15	51
CHEMBL5311	100909	Serine/threonine-protein kinase receptor R3	P37023	SINGLE PROTEIN	Homo sapiens	206	329
CHEMBL5319	100917	Epithelial discoidin domain-containing receptor 1	Q08345	SINGLE PROTEIN	Homo sapiens	222	305
CHEMBL5344	101156	Botulinum neurotoxin type A	A5HZZ9	SINGLE PROTEIN	Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A)	140	238
CHEMBL5358	100925	Eukaryotic translation initiation factor 2-alpha kinase 4	Q9P2K8	SINGLE PROTEIN	Homo sapiens	144	181
CHEMBL5388	100969	Serine/threonine-protein kinase tousled-like 1	Q9UKI8	SINGLE PROTEIN	Homo sapiens	143	186
CHEMBL5395	101170	Meiotic mRNA stability protein kinase SSN3	P39073	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	2	2
CHEMBL5404	101179	Serine/threonine-protein kinase tousled-like 2	Q86UE8	SINGLE PROTEIN	Homo sapiens	297	503
CHEMBL5408	100856	Serine/threonine-protein kinase TBK1	Q9UHD2	SINGLE PROTEIN	Homo sapiens	1576	3071
CHEMBL5526	100007	UDP-N-acetylmuramate dehydrogenase	P08373	SINGLE PROTEIN	Escherichia coli K-12	108	112
CHEMBL5536	101007	Genome polyprotein	Q9WMX2	SINGLE PROTEIN	Hepatitis C virus genotype 1b (isolate Con1) (HCV)	42	50
CHEMBL5539	101010	Penicillin-binding protein 2	Q9X6V3	SINGLE PROTEIN	Pseudomonas aeruginosa	6	6
CHEMBL5543	101014	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	Q9Y463	SINGLE PROTEIN	Homo sapiens	1221	1681
CHEMBL5552	101231	Serine/threonine-protein kinase 25	O00506	SINGLE PROTEIN	Homo sapiens	299	355
CHEMBL5425	100985	Ribonuclease pancreatic	P07998	SINGLE PROTEIN	Homo sapiens	27	45
CHEMBL5432	101188	Mitogen-activated protein kinase kinase kinase kinase 3	Q8IVH8	SINGLE PROTEIN	Homo sapiens	120	159
CHEMBL5438	101194	IMP-19	A8QUY6	SINGLE PROTEIN	Aeromonas caviae	13	39
CHEMBL5440	101196	Dehydrosqualene synthase	A9JQL9	SINGLE PROTEIN	Staphylococcus aureus	68	78
CHEMBL5449	12586	Phospholipase C-beta-3	Q01970	SINGLE PROTEIN	Homo sapiens	157	157
CHEMBL5464	100990	Receptor-interacting serine/threonine-protein kinase 1	Q13546	SINGLE PROTEIN	Homo sapiens	162	375
CHEMBL5469	100995	Protein tyrosine kinase 2 beta	Q14289	SINGLE PROTEIN	Homo sapiens	1689	2337
CHEMBL5476	101204	Bone morphogenetic protein receptor type-1B	O00238	SINGLE PROTEIN	Homo sapiens	115	124
CHEMBL5511	101005	Dual specificity protein phosphatase 6	Q64346	SINGLE PROTEIN	Rattus norvegicus	308	459
CHEMBL5763	101542	Cholinesterase	P81908	SINGLE PROTEIN	Equus caballus	3629	4521
CHEMBL5766	101545	Acyl-CoA synthase	P9WQ59	SINGLE PROTEIN	Mycobacterium tuberculosis	370	370
CHEMBL1075065	102586	Pyruvate-flavodoxin oxidoreductase	Q0SRB6	SINGLE PROTEIN	Clostridium perfringens (strain SM101 / Type A)	2	2
CHEMBL1075168	103107	Glutamate decarboxylase	Q8XIQ6	SINGLE PROTEIN	Clostridium perfringens (strain 13 / Type A)	2	3
CHEMBL5579	101239	Citron Rho-interacting kinase	O14578	SINGLE PROTEIN	Homo sapiens	104	143
CHEMBL5594	100124	Cytochrome P450-cam	P00183	SINGLE PROTEIN	Pseudomonas putida	11	18
CHEMBL5607	101033	Rhodopsin kinase	Q15835	SINGLE PROTEIN	Homo sapiens	121	128
