log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	val_auc	val_auprc	test_auc	test_auprc
convnetTop5Run_201.out	ImageNetInceptionV2	CHEMBL4618	adam	0.0005	5	0	0	0.8	0	1	0.85	0.7	0.85	0.85	0.85	74	13	74	13	0.01	0.97	0.98	0.93	0.93
convnetTop5Run_2595.out	ImageNetInceptionV2	CHEMBL1945	adam	0.0005	30	0	0	0.8	0	1	0.87	0.76	0.88	0.9	0.84	137	15	165	27	0.01	0.97	0.96	0.95	0.94
convnetTop5Run_598.out	ImageNetInceptionV2	CHEMBL2074	adam	0.0001	15	0	0	0.8	0	1	0.86	0.6	0.82	0.83	0.9	19	4	8	2	0.09	0.66	0.72	0.84	0.91
convnetTop5Run_63.out	ImageNetInceptionV2	CHEMBL2973	adam	0.001	15	0	0	0.8	0	1	0.86	0.73	0.86	0.88	0.84	212	28	217	40	0.98	0.94	0.92	0.94	0.93
convnetTop5Run_2344.out	ImageNetInceptionV2	CHEMBL4441	adam	0.0005	5	0	0	0.6	0	1	0.88	0.78	0.88	0.98	0.81	124	3	121	30	0.62	0.91	0.9	0.93	0.94
convnetTop5Run_1895.out	ImageNetInceptionV2	CHEMBL2967	RMSprop	0.0005	15	0	0	0.8	0	1	0.76	0.31	0.67	0.67	0.88	22	11	7	3	0.64	0.74	0.75	0.75	0.78
convnetTop5Run_2350.out	ImageNetInceptionV2	CHEMBL3802	adam	0.0005	15	0	0	0.6	0	1	0.87	0.75	0.86	1.0	0.76	26	0	22	8	0.28	0.89	0.91	0.95	0.97
convnetTop5Run_1117.out	ImageNetInceptionV2	CHEMBL5408	adam	0.0005	15	0	0	0.6	0	1	0.84	0.69	0.84	0.9	0.78	36	4	38	10	0.01	0.93	0.95	0.88	0.9
convnetTop5Run_375.out	ImageNetInceptionV2	CHEMBL239	adam	0.001	15	0	0	0.6	0	1	0.89	0.71	0.86	0.84	0.94	239	45	133	15	0.74	0.9	0.9	0.94	0.96
convnetTop5Run_2378.out	ImageNetInceptionV2	CHEMBL2801	adam	0.0005	15	0	0	0.8	0	1	0.74	0.64	0.79	1.0	0.58	14	0	24	10	0.03	0.96	0.97	0.94	0.95
convnetTop5Run_3066.out	ImageNetInceptionV2	CHEMBL2850	adam	0.0005	30	0	0	0.6	0	1	0.17	0.22	0.54	1.0	0.09	5	0	53	50	0.01	0.73	0.71	0.84	0.86
convnetTop5Run_361.out	ImageNetInceptionV2	CHEMBL4607	adam	0.0005	5	0	0	0.6	0	1	0.88	0.74	0.87	0.84	0.92	65	12	55	6	0.01	0.88	0.85	0.91	0.89
convnetTop5Run_1103.out	ImageNetInceptionV2	CHEMBL4071	adam	0.0005	15	0	0	0.8	0	1	0.13	0.18	0.49	1.0	0.07	2	0	23	26	0.15	0.76	0.82	0.75	0.79
convnetTop5Run_2387.out	ImageNetInceptionV2	CHEMBL3706	adam	0.0005	15	0	0	0.8	0	1	0.83	0.56	0.78	0.75	0.92	122	40	59	10	0.01	0.87	0.88	0.88	0.91
convnetTop5Run_1842.out	ImageNetInceptionV2	CHEMBL2321627	RMSprop	0.0005	15	0	0	0.6	0	1	0.97	0.93	0.97	1.0	0.95	36	0	23	2	0.07	1.0	1.0	1.0	1.0
convnetTop5Run_2146.out	ImageNetInceptionV2	CHEMBL4892	RMSprop	0.0001	15	0	0	0.8	0	1	0.77	0.43	0.7	0.65	0.95	42	23	15	2	0.82	0.81	0.79	0.88	0.88
convnetTop5Run_1329.out	ImageNetInceptionV2	CHEMBL240	adam	0.001	15	0	0	0.6	0	1	0.72	0.38	0.69	0.78	0.68	266	77	189	126	0.99	0.79	0.85	0.76	0.8
convnetTop5Run_2152.out	ImageNetInceptionV2	CHEMBL2073	adam	0.0001	15	0	0	0.6	0	1	0.83	0.65	0.82	0.76	0.92	22	7	18	2	0.36	0.84	0.83	0.93	0.93
convnetTop5Run_1473.out	ImageNetInceptionV2	CHEMBL4722	adam	0.001	30	0	0	0.6	0	1	0.71	0.58	0.77	0.93	0.57	253	19	431	188	0.01	0.91	0.91	0.91	0.91
convnetTop5Run_177.out	ImageNetInceptionV2	CHEMBL3070	RMSprop	0.0001	15	0	0	0.8	0	1	0.85	0.76	0.89	0.82	0.88	14	3	26	2	0.4	0.9	0.9	0.92	0.9
convnetTop5Run_2608.out	ImageNetInceptionV2	CHEMBL3181	adam	0.0005	15	0	0	0.8	0	1	0.86	0.56	0.81	0.82	0.9	47	10	17	5	0.86	0.86	0.86	0.87	0.92
convnetTop5Run_605.out	ImageNetInceptionV2	CHEMBL2008	RMSprop	0.0001	30	0	0	0.8	0	1	0.71	0.36	0.61	0.55	1.0	36	29	9	0	1.0	0.93	0.84	0.87	0.79
convnetTop5Run_1467.out	ImageNetInceptionV2	CHEMBL1850	adam	0.0001	15	0	0	0.8	0	1	0.81	0.56	0.77	0.72	0.93	39	15	22	3	0.99	0.84	0.84	0.86	0.84
convnetTop5Run_163.out	ImageNetInceptionV2	CHEMBL3142	adam	0.0005	15	0	0	0.6	0	1	0.83	0.54	0.78	0.78	0.88	92	26	47	13	0.95	0.84	0.82	0.82	0.82
convnetTop5Run_3270.out	ImageNetInceptionV2	CHEMBL4079	adam	0.0005	15	0	0	0.8	0	1	0.94	0.85	0.93	0.92	0.95	37	3	25	2	0.01	0.9	0.77	0.99	0.99
convnetTop5Run_2185.out	ImageNetInceptionV2	CHEMBL4093	adam	0.001	15	0	0	0.8	0	1	0.9	0.78	0.89	0.84	0.96	118	22	93	5	0.44	0.97	0.97	0.97	0.98
convnetTop5Run_188.out	ImageNetInceptionV2	CHEMBL2055	adam	0.0005	30	0	0	0.6	0	1	0.92	0.82	0.91	0.88	0.97	35	5	25	1	0.99	0.92	0.93	0.97	0.98
convnetTop5Run_822.out	ImageNetInceptionV2	CHEMBL4600	adam	0.001	15	0	0	0.6	0	1	0.0	0.0	0.49	0.0	0.0	0	0	33	35	1.0	0.83	0.87	0.88	0.86
convnetTop5Run_2191.out	ImageNetInceptionV2	CHEMBL3816	adam	0.0001	30	0	0	0.8	0	1	0.76	0.42	0.71	0.7	0.84	32	14	18	6	0.01	0.9	0.9	0.8	0.83
convnetTop5Run_2813.out	ImageNetInceptionV2	CHEMBL2858	adam	0.0001	5	0	0	0.6	0	1	0.91	0.82	0.91	0.92	0.91	88	8	81	9	0.75	0.97	0.97	0.97	0.98
convnetTop5Run_2806.out	ImageNetInceptionV2	CHEMBL4804	adam	0.001	30	0	0	0.8	0	1	0.69	0.42	0.71	0.76	0.64	34	11	39	19	0.34	0.74	0.76	0.78	0.78
convnetTop5Run_823.out	ImageNetInceptionV2	CHEMBL4600	adam	0.0005	15	0	0	0.8	0	1	0.81	0.72	0.87	0.92	0.73	22	2	43	8	0.94	0.87	0.91	0.89	0.83
convnetTop5Run_189.out	ImageNetInceptionV2	CHEMBL2055	adam	0.0001	15	0	0	0.6	0	1	0.9	0.71	0.87	0.88	0.93	38	5	16	3	0.98	0.92	0.9	0.93	0.96
convnetTop5Run_1300.out	ImageNetInceptionV2	CHEMBL2439944	adam	0.0005	30	0	0	0.6	0	1	0.93	0.88	0.94	0.93	0.93	26	2	41	2	1.0	0.99	0.98	0.98	0.98
convnetTop5Run_604.out	ImageNetInceptionV2	CHEMBL2008	RMSprop	0.0001	15	0	0	0.8	0	1	0.81	0.66	0.84	0.78	0.83	25	7	36	5	0.97	0.89	0.91	0.9	0.87
convnetTop5Run_1466.out	ImageNetInceptionV2	CHEMBL1850	adam	0.001	15	0	0	0.6	0	1	0.88	0.72	0.86	0.82	0.95	40	9	27	2	0.83	0.95	0.94	0.94	0.95
convnetTop5Run_610.out	ImageNetInceptionV2	CHEMBL3004	RMSprop	0.001	15	0	0	0.8	0	1	0.73	0.2	0.59	0.58	1.0	36	26	2	0	1.0	0.75	0.7	0.8	0.8
convnetTop5Run_638.out	ImageNetInceptionV2	CHEMBL4523	adam	0.001	30	0	0	0.8	0	1	0.9	0.8	0.9	0.9	0.91	214	24	202	22	0.21	0.96	0.96	0.96	0.96
convnetTop5Run_2153.out	ImageNetInceptionV2	CHEMBL2073	adam	0.0001	15	0	0	0.8	0	1	0.9	0.8	0.89	1.0	0.82	23	0	17	5	0.46	0.86	0.91	0.9	0.96
convnetTop5Run_2147.out	ImageNetInceptionV2	CHEMBL4892	adam	0.0001	15	0	0	0.6	0	1	0.8	0.56	0.78	0.76	0.85	39	12	28	7	1.0	0.87	0.89	0.84	0.86
convnetTop5Run_2386.out	ImageNetInceptionV2	CHEMBL3706	adam	0.001	15	0	0	0.6	0	1	0.88	0.68	0.85	0.84	0.94	142	28	68	9	0.97	0.9	0.92	0.93	0.95
convnetTop5Run_1664.out	ImageNetInceptionV2	CHEMBL4145	adam	0.0001	15	0	0	0.8	0	1	0.09	0.15	0.52	1.0	0.05	1	0	22	21	0.2	0.66	0.68	0.61	0.65
convnetTop5Run_3067.out	ImageNetInceptionV2	CHEMBL2850	adam	0.0005	5	0	0	0.8	0	1	0.6	0.39	0.69	0.78	0.48	25	7	49	27	0.15	0.68	0.71	0.76	0.73
convnetTop5Run_2379.out	ImageNetInceptionV2	CHEMBL2801	adam	0.0005	30	0	0	0.6	0	1	0.76	0.54	0.77	0.74	0.77	17	6	20	5	0.1	0.9	0.93	0.87	0.86
convnetTop5Run_1670.out	ImageNetInceptionV2	CHEMBL332	adam	0.001	30	0	0	0.8	0	1	0.88	0.71	0.86	0.86	0.89	387	61	260	46	0.07	0.94	0.95	0.94	0.95
convnetTop5Run_374.out	ImageNetInceptionV2	CHEMBL239	RMSprop	0.0005	15	0	0	0.8	0	1	0.89	0.71	0.86	0.88	0.9	240	32	136	27	0.02	0.9	0.86	0.91	0.89
convnetTop5Run_2351.out	ImageNetInceptionV2	CHEMBL3267	adam	0.001	5	0	0	0.8	0	1	0.36	0.17	0.49	0.8	0.23	16	4	38	53	0.09	0.73	0.83	0.66	0.77
convnetTop5Run_1894.out	ImageNetInceptionV2	CHEMBL2967	RMSprop	0.001	15	0	0	0.8	0	1	0.67	0.36	0.6	0.52	0.94	17	16	9	1	1.0	0.79	0.69	0.81	0.74
convnetTop5Run_62.out	ImageNetInceptionV2	CHEMBL2973	adam	0.0005	15	0	0	0.6	0	1	0.85	0.71	0.86	0.89	0.81	203	25	222	47	0.41	0.93	0.93	0.92	0.93
convnetTop5Run_2580.out	ImageNetInceptionV2	CHEMBL5112	adam	0.001	30	0	0	0.8	0	1	0.93	0.84	0.92	0.94	0.92	59	4	47	5	1.0	0.98	0.99	0.97	0.97
convnetTop5Run_1089.out	ImageNetInceptionV2	CHEMBL3921	adam	0.001	15	0	0	0.6	0	1	0.7	0.57	0.73	1.0	0.53	16	0	21	14	0.02	0.97	0.97	0.97	0.98
convnetTop5Run_599.out	ImageNetInceptionV2	CHEMBL2074	adam	0.0005	15	0	0	0.6	0	1	0.68	0.31	0.66	0.67	0.7	14	7	11	6	0.87	0.86	0.91	0.74	0.7
convnetTop5Run_1923.out	ImageNetInceptionV2	CHEMBL4701	adam	0.0005	30	0	0	0.8	0	1	0.86	0.74	0.87	0.86	0.86	19	3	21	3	0.12	0.9	0.91	0.91	0.89
convnetTop5Run_1710.out	ImageNetInceptionV2	CHEMBL4329	adam	0.001	15	0	0	0.8	0	1	0.9	0.81	0.9	0.97	0.84	32	1	31	6	0.28	0.98	0.99	0.98	0.98
convnetTop5Run_1076.out	ImageNetInceptionV2	CHEMBL4247	RMSprop	0.001	30	0	0	0.8	0	1	0.81	0.65	0.83	0.81	0.81	136	32	166	32	0.01	0.9	0.91	0.91	0.91
convnetTop5Run_1062.out	ImageNetInceptionV2	CHEMBL2069	adam	0.001	30	0	0	0.8	0	1	0.85	0.69	0.85	0.84	0.85	93	18	95	16	0.02	0.92	0.87	0.93	0.92
convnetTop5Run_566.out	ImageNetInceptionV2	CHEMBL3060	adam	0.0005	30	0	0	0.8	0	1	0.44	0.37	0.69	0.86	0.3	6	1	27	14	0.1	0.89	0.91	0.71	0.73
convnetTop5Run_200.out	ImageNetInceptionV2	CHEMBL3067	adam	0.0001	15	0	0	0.8	0	1	0.82	0.72	0.84	1.0	0.69	18	0	23	8	0.91	0.98	0.98	0.93	0.95
convnetTop5Run_89.out	ImageNetInceptionV2	CHEMBL244	RMSprop	0.0005	15	0	0	0.6	0	1	0.88	0.71	0.86	0.88	0.87	519	69	359	78	0.89	0.91	0.93	0.93	0.94
convnetTop5Run_2231.out	ImageNetInceptionV2	CHEMBL1978	adam	0.0005	15	0	0	0.6	0	1	0.8	0.55	0.78	0.78	0.83	138	39	95	28	0.03	0.88	0.88	0.84	0.85
convnetTop5Run_2966.out	ImageNetInceptionV2	CHEMBL3920	RMSprop	0.0005	15	0	0	0.8	0	1	0.67	0.53	0.72	0.95	0.51	60	3	95	57	0.01	0.89	0.91	0.9	0.92
convnetTop5Run_770.out	ImageNetInceptionV2	CHEMBL2366	RMSprop	0.0001	15	0	0	0.6	0	1	0.67	0.3	0.57	0.51	0.96	23	22	8	1	0.6	0.61	0.64	0.65	0.58
convnetTop5Run_1274.out	ImageNetInceptionV2	CHEMBL3476	adam	0.0001	15	0	0	0.6	0	1	0.67	0.47	0.75	0.75	0.6	27	9	52	18	0.91	0.79	0.83	0.79	0.71
convnetTop5Run_3463.out	ImageNetInceptionV2	CHEMBL2335	adam	0.0001	15	0	0	0.6	0	1	0.94	0.87	0.94	0.92	0.96	70	6	61	3	0.12	0.95	0.95	0.99	0.99
convnetTop5Run_3305.out	ImageNetInceptionV2	CHEMBL5471	RMSprop	0.0001	15	0	0	0.8	0	1	0.84	0.71	0.85	0.94	0.75	33	2	40	11	0.02	0.96	0.97	0.97	0.97
convnetTop5Run_1512.out	ImageNetInceptionV2	CHEMBL4501	adam	0.0005	5	0	0	0.8	0	1	0.84	0.69	0.84	0.89	0.81	117	15	113	28	1.0	0.94	0.94	0.9	0.92
convnetTop5Run_3477.out	ImageNetInceptionV2	CHEMBL3807	RMSprop	0.0001	15	0	0	0.6	0	1	0.71	0.41	0.7	0.66	0.77	50	26	47	15	0.41	0.86	0.85	0.79	0.7
convnetTop5Run_764.out	ImageNetInceptionV2	CHEMBL2016	adam	0.001	15	0	0	0.8	0	1	0.69	0.45	0.71	0.62	0.79	34	21	41	9	0.2	0.88	0.9	0.85	0.77
convnetTop5Run_1.out	ImageNetInceptionV2	CHEMBL1995	adam	0.0005	30	0	0	0.6	0	1	0.88	0.76	0.88	0.89	0.87	41	5	41	6	1.0	0.92	0.94	0.92	0.93
convnetTop5Run_3339.out	ImageNetInceptionV2	CHEMBL2568	adam	0.001	15	0	0	0.6	0	1	0.94	0.85	0.93	0.92	0.96	72	6	44	3	0.02	0.95	0.96	0.95	0.96
convnetTop5Run_2033.out	ImageNetInceptionV2	CHEMBL2337	RMSprop	0.001	15	0	0	0.6	0	1	0.84	0.68	0.84	0.86	0.82	103	17	100	22	1.0	0.95	0.96	0.92	0.91
convnetTop5Run_3449.out	ImageNetInceptionV2	CHEMBL3590	adam	0.0001	15	0	0	0.6	0	1	0.81	0.63	0.82	0.84	0.78	42	8	47	12	0.46	0.91	0.93	0.9	0.89
convnetTop5Run_2757.out	ImageNetInceptionV2	CHEMBL281	RMSprop	0.001	30	0	0	0.8	0	1	0.84	0.7	0.84	0.95	0.76	78	4	72	25	0.01	0.91	0.92	0.92	0.93
convnetTop5Run_982.out	ImageNetInceptionV2	CHEMBL253	RMSprop	0.001	15	0	0	0.6	0	1	0.89	0.76	0.88	0.87	0.92	652	97	513	58	0.89	0.94	0.94	0.95	0.95
convnetTop5Run_2031.out	ImageNetInceptionV2	CHEMBL2337	adam	0.001	5	0	0	0.6	0	1	0.27	0.23	0.54	0.88	0.16	21	3	110	108	0.01	0.93	0.92	0.93	0.92
convnetTop5Run_1510.out	ImageNetInceptionV2	CHEMBL4794	adam	0.001	5	0	0	0.6	0	1	0.88	0.69	0.85	0.86	0.9	107	18	63	12	0.73	0.93	0.94	0.92	0.95
convnetTop5Run_1276.out	ImageNetInceptionV2	CHEMBL2563	adam	0.0005	30	0	0	0.8	0	1	0.59	0.22	0.6	0.53	0.67	10	9	11	5	0.5	0.69	0.74	0.63	0.61
convnetTop5Run_772.out	ImageNetInceptionV2	CHEMBL4816	adam	0.0005	15	0	0	0.8	0	1	0.88	0.76	0.87	0.81	0.97	38	9	31	1	0.46	0.9	0.85	0.92	0.86
convnetTop5Run_1262.out	ImageNetInceptionV2	CHEMBL1908	RMSprop	0.001	15	0	0	0.6	0	1	0.85	0.63	0.82	0.86	0.85	90	15	54	16	1.0	0.91	0.92	0.88	0.91
convnetTop5Run_766.out	ImageNetInceptionV2	CHEMBL2366	adam	0.0001	30	0	0	0.6	0	1	0.27	0.3	0.6	1.0	0.15	4	0	29	22	0.01	0.59	0.52	0.77	0.77
convnetTop5Run_2958.out	ImageNetInceptionV2	CHEMBL4895	adam	0.0005	30	0	0	0.6	0	1	0.76	0.56	0.78	0.77	0.75	30	9	37	10	0.81	0.91	0.9	0.82	0.82
convnetTop5Run_955.out	ImageNetInceptionV2	CHEMBL1075293	RMSprop	0.0001	30	0	0	0.8	0	1	0.77	0.57	0.78	0.86	0.69	18	3	20	8	0.27	0.85	0.93	0.84	0.88
convnetTop5Run_1289.out	ImageNetInceptionV2	CHEMBL5776	RMSprop	0.0005	30	0	0	0.8	0	1	0.76	0.46	0.73	0.7	0.83	19	8	13	4	1.0	0.76	0.75	0.7	0.69
convnetTop5Run_941.out	ImageNetInceptionV2	CHEMBL5407	adam	0.0005	30	0	0	0.8	0	1	0.89	0.77	0.88	0.89	0.88	140	17	132	19	0.98	0.96	0.97	0.95	0.95
convnetTop5Run_2794.out	ImageNetInceptionV2	CHEMBL5888	adam	0.001	5	0	0	0.6	0	1	0.98	0.97	0.98	1.0	0.96	105	0	125	4	0.99	0.99	0.99	1.0	1.0
convnetTop5Run_969.out	ImageNetInceptionV2	CHEMBL226	adam	0.0005	15	0	0	0.8	0	1	0.92	0.83	0.91	0.9	0.93	598	65	539	43	0.46	0.97	0.96	0.97	0.96
convnetTop5Run_2964.out	ImageNetInceptionV2	CHEMBL3594	adam	0.001	15	0	0	0.6	0	1	0.8	0.46	0.74	0.73	0.87	146	54	67	21	0.99	0.82	0.85	0.81	0.85
convnetTop5Run_1048.out	ImageNetInceptionV2	CHEMBL5393	adam	0.0001	15	0	0	0.8	0	1	0.71	0.43	0.71	0.79	0.65	46	12	43	25	0.2	0.81	0.81	0.78	0.82
convnetTop5Run_3139.out	ImageNetInceptionV2	CHEMBL1889	adam	0.0005	15	0	0	0.8	0	1	0.85	0.69	0.83	0.77	0.96	118	36	87	5	0.07	0.93	0.91	0.93	0.93
convnetTop5Run_2233.out	ImageNetInceptionV2	CHEMBL1978	RMSprop	0.001	30	0	0	0.8	0	1	0.75	0.45	0.73	0.71	0.8	121	49	92	31	0.87	0.79	0.82	0.8	0.81
convnetTop5Run_558.out	ImageNetInceptionV2	CHEMBL2808	adam	0.0005	5	0	0	0.8	0	1	0.88	0.77	0.88	0.85	0.93	99	18	101	8	0.01	0.94	0.92	0.94	0.93
convnetTop5Run_2555.out	ImageNetInceptionV2	CHEMBL1901	adam	0.001	15	0	0	0.6	0	1	0.19	0.23	0.53	1.0	0.1	8	0	70	69	0.01	0.92	0.92	0.96	0.96
convnetTop5Run_570.out	ImageNetInceptionV2	CHEMBL3060	adam	0.0001	30	0	0	0.8	0	1	0.65	0.53	0.7	1.0	0.48	13	0	20	14	0.01	0.83	0.88	0.87	0.93
convnetTop5Run_1074.out	ImageNetInceptionV2	CHEMBL4018	adam	0.001	15	0	0	0.6	0	1	0.9	0.82	0.91	0.94	0.87	47	3	54	7	0.98	0.97	0.98	0.96	0.94
convnetTop5Run_1712.out	ImageNetInceptionV2	CHEMBL2373	adam	0.0005	5	0	0	0.8	0	1	0.75	0.57	0.77	0.87	0.67	40	6	48	20	0.46	0.84	0.84	0.84	0.87
convnetTop5Run_2569.out	ImageNetInceptionV2	CHEMBL4979	adam	0.0005	15	0	0	0.6	0	1	0.85	0.65	0.83	0.89	0.81	50	6	36	12	0.49	0.95	0.96	0.92	0.95
convnetTop5Run_48.out	ImageNetInceptionV2	CHEMBL4478	adam	0.001	5	0	0	0.8	0	1	0.0	0.0	0.56	0.0	0.0	0	0	44	35	1.0	0.29	0.37	0.43	0.44
convnetTop5Run_2582.out	ImageNetInceptionV2	CHEMBL4685	adam	0.001	30	0	0	0.6	0	1	0.77	0.27	0.68	0.7	0.86	44	19	11	7	0.28	0.79	0.81	0.74	0.84
convnetTop5Run_1935.out	ImageNetInceptionV2	CHEMBL1944	adam	0.0001	30	0	0	0.8	0	1	0.24	0.17	0.48	0.83	0.14	5	1	24	30	0.01	0.76	0.8	0.73	0.79
convnetTop5Run_1921.out	ImageNetInceptionV2	CHEMBL4701	adam	0.001	30	0	0	0.6	0	1	0.77	0.57	0.78	0.81	0.74	17	4	19	6	0.52	0.85	0.9	0.88	0.88
convnetTop5Run_3059.out	ImageNetInceptionV2	CHEMBL4234	adam	0.001	30	0	0	0.6	0	1	0.86	0.54	0.8	0.81	0.92	34	8	11	3	0.02	0.93	0.94	0.9	0.96
convnetTop5Run_1896.out	ImageNetInceptionV2	CHEMBL4777	adam	0.0005	30	0	0	0.8	0	1	0.88	0.72	0.86	0.87	0.88	118	17	89	16	0.49	0.91	0.92	0.93	0.95
convnetTop5Run_1128.out	ImageNetInceptionV2	CHEMBL344	adam	0.0005	15	0	0	0.8	0	1	0.92	0.85	0.92	0.92	0.92	505	42	511	42	0.25	0.98	0.98	0.97	0.97
convnetTop5Run_1100.out	ImageNetInceptionV2	CHEMBL339	RMSprop	0.0005	15	0	0	0.8	0	1	0.89	0.75	0.88	0.89	0.88	648	82	549	86	0.05	0.93	0.94	0.94	0.94
convnetTop5Run_404.out	ImageNetInceptionV2	CHEMBL2637	adam	0.0005	30	0	0	0.6	0	1	0.74	0.43	0.69	0.62	0.92	153	92	80	14	1.0	0.79	0.78	0.83	0.8
convnetTop5Run_362.out	ImageNetInceptionV2	CHEMBL4607	adam	0.0005	5	0	0	0.8	0	1	0.0	0.0	0.5	0.0	0.0	0	0	70	69	0.01	0.6	0.62	0.64	0.67
convnetTop5Run_1666.out	ImageNetInceptionV2	CHEMBL332	adam	0.0005	30	0	0	0.8	0	1	0.87	0.72	0.86	0.88	0.87	369	49	286	57	0.11	0.89	0.89	0.92	0.92
convnetTop5Run_376.out	ImageNetInceptionV2	CHEMBL4781	adam	0.0005	15	0	0	0.6	0	1	0.93	0.87	0.93	1.0	0.87	26	0	29	4	0.2	0.98	0.98	0.97	0.98
convnetTop5Run_410.out	ImageNetInceptionV2	CHEMBL312	adam	0.001	15	0	0	0.8	0	1	0.57	0.21	0.59	0.68	0.49	47	22	55	48	0.99	0.7	0.8	0.65	0.72
convnetTop5Run_1841.out	ImageNetInceptionV2	CHEMBL2321627	adam	0.0005	15	0	0	0.6	0	1	0.96	0.94	0.97	1.0	0.93	27	0	33	2	0.21	1.0	1.0	1.0	1.0
convnetTop5Run_1855.out	ImageNetInceptionV2	CHEMBL4566	adam	0.0005	30	0	0	0.8	0	1	0.84	0.68	0.84	0.83	0.85	127	26	127	22	0.58	0.92	0.9	0.89	0.87
convnetTop5Run_2384.out	ImageNetInceptionV2	CHEMBL1835	RMSprop	0.0005	30	0	0	0.6	0	1	0.89	0.74	0.87	0.91	0.88	125	13	82	17	0.98	0.88	0.88	0.94	0.94
convnetTop5Run_2637.out	ImageNetInceptionV2	CHEMBL2611	adam	0.001	30	0	0	0.6	0	1	1.0	1.0	1.0	1.0	1.0	36	0	25	0	0.37	0.94	0.94	1.0	1.0
convnetTop5Run_148.out	ImageNetInceptionV2	CHEMBL3360	adam	0.0005	15	0	0	0.6	0	1	0.82	0.69	0.84	0.92	0.74	34	3	44	12	0.5	0.93	0.96	0.93	0.94
convnetTop5Run_2145.out	ImageNetInceptionV2	CHEMBL3719	RMSprop	0.0005	15	0	0	0.8	0	1	0.98	0.96	0.98	0.96	1.0	25	1	27	0	0.87	0.98	0.97	1.0	1.0
convnetTop5Run_1464.out	ImageNetInceptionV2	CHEMBL2147	adam	0.0005	15	0	0	0.8	0	1	0.83	0.64	0.81	0.74	0.93	321	110	247	23	1.0	0.93	0.93	0.92	0.92
convnetTop5Run_606.out	ImageNetInceptionV2	CHEMBL3004	adam	0.0005	30	0	0	0.6	0	1	0.74	0.65	0.83	0.93	0.61	14	1	35	9	0.25	0.82	0.69	0.82	0.79
