hsa:6324	Q07699
hsa:10008	Q9Y6H6 Q6IAE6
hsa:2569	P24046
hsa:1181	P51788
hsa:3736	Q09470
hsa:3761	P48050 A0A024R1L8
hsa:3744	Q16322
hsa:27012	Q6PIU1
hsa:60598	Q9H427
hsa:2559	Q16445
hsa:27092	Q9UBN1 A0A024R8J8
hsa:41	P78348 A8K1U5
hsa:55515	Q96FT7
hsa:9254	Q9NY47
hsa:6261	P21817
hsa:8645	O95279 A0A024RD32
hsa:23630	Q9UJ90
hsa:3786	O43525
hsa:3773	Q9NPI9
hsa:3763	P48051
hsa:9132	P56696 B3KQH8
hsa:3767	Q14654
hsa:8001	O75311 Q9UPF3
hsa:775	Q13936 Q5V9X9 Q59GU3
hsa:1140	P11230
hsa:8989	O75762
hsa:3751	Q9NZV8 A4D0V9
hsa:23704	Q8WWG9 A5H1P5
hsa:6330	Q8IWT1 B0YJ93
hsa:3759	P63252
hsa:3769	O60928
hsa:3787	Q96KK3 A2RUL8
hsa:2570	P28476
