hsa:8940	O95985 A0A024R1C2
hsa:3290	P28845 X5D2L1
hsa:2147	P00734
hsa:6897	P26639
hsa:2224	P14324
hsa:1312	P21964 A0A140VJG8
hsa:3939	P00338 V9HWB9
hsa:377677	Q8N1Q1
hsa:5126	P16519
hsa:658	O00238
hsa:38	P24752 A0A140VJX1
hsa:3614	P20839
hsa:6725	Q9H3Y6
hsa:28227	Q9Y5P8
hsa:7150	P11387 Q9BVT2
hsa:4051	Q08477 A0A024R7J8
hsa:10825	Q9UQ49 A0A024R5N6
hsa:124	P07327
hsa:1735	P55073 Q86TU3
hsa:6240	P23921
hsa:10269	O75844
hsa:81579	Q9BZM1 Q542Y6
hsa:43	P22303
hsa:53938	Q9H2H8 A0A024R3V4
hsa:7298	P04818 Q53Y97
hsa:7371	Q9BZX2 A0A024R912
hsa:5327	P00750
hsa:4593	O15146
hsa:5533	P48454
hsa:1956	P00533 Q504U8 F2YGG7
hsa:5479	P23284
hsa:2677	P38435
hsa:28	P16442 A0A089QDC1
hsa:29785	Q96SQ9
hsa:3988	P38571
hsa:3816	P06870 A0A1R3UCD2
hsa:1843	P28562 B4DU40
hsa:133121	Q6UWR7
hsa:217	P05091
hsa:1593	Q02318
hsa:64850	Q8TBG4
hsa:5831	P32322 A0A024R8U9
hsa:2180	P33121 A8K9T3
hsa:1845	P51452
hsa:7173	P07202 Q502Y3 Q6P534
hsa:6898	P17735 A0A140VKB7
hsa:8288	P11678
hsa:5033	P13674 Q5VSQ6
hsa:339221	Q6UWV6
hsa:7084	O00142 Q8IZR3
hsa:3818	P03952 A8K9A9
hsa:1728	P15559
hsa:5147	O43924 Q6IB24
hsa:2328	P31513 A0A024R8Z4 Q53FW5
hsa:2324	P35916
hsa:5122	P29120
hsa:10941	Q9Y4X1
hsa:199974	Q86W10
hsa:23475	Q15274 V9HWJ5 B4DDH4
hsa:2263	P21802
hsa:5740	Q16647
hsa:4907	P21589 Q6NZX3
hsa:2051	O15197 F8WCM8
hsa:2880	O75715 V9HWN8
hsa:5141	P27815
hsa:1800	P16444 A0A140VJI3
hsa:51166	Q8N5Z0 Q4W5N8
hsa:1504	P17538
hsa:5049	P68402 V9HW44
hsa:7301	Q06418
hsa:1579	Q02928
hsa:6241	P31350
hsa:4129	P27338
hsa:23436	P08861
hsa:30814	Q9NZK7
hsa:22843	A7E2X1
hsa:6714	P12931
hsa:4920	Q01974
hsa:2876	P07203 Q7L4Q3
hsa:8513	P07098
hsa:2159	P00742 Q5JVE7
hsa:762	P22748
hsa:780	Q08345 A0A024RCL1
hsa:2877	P18283
hsa:231	P15121 A0A024R7A8
hsa:3055	P08631 F6SF04
hsa:64816	Q9HB55
hsa:313	P28039
hsa:51645	Q9Y3C6 A0A024RCX8
hsa:23632	Q9ULX7 A8K3J4
hsa:5747	Q05397 Q658W2 Q59GM6
hsa:768	Q16790 A0A0S2Z3D0
hsa:349565	Q96T66 Q49AL4
hsa:10935	P30048
hsa:4548	Q99707
hsa:5972	P00797
hsa:49	P10323
hsa:6716	P31213
hsa:3735	Q15046
hsa:23097	Q9BWU1
hsa:114	P40145 A0A0K0K1K3 Q4F7X0
hsa:5834	P11216
hsa:1431	O75390 A0A024RB75
hsa:10188	Q07912 B3KXJ4
hsa:1215	P23946 Q4FEB3
hsa:238	Q9UM73 B6D4Y2
hsa:2098	P10768 A0A140VJJ2
hsa:3376	P41252 Q7L4K8 Q6P0M4
hsa:5322	P39877
hsa:472	Q13315 A0A024R3C7
hsa:5516	P62714 A0A140VJS0
hsa:111	O95622 B7Z2C7
hsa:7498	P47989
hsa:5478	P62937 V9HWF5
hsa:5496	O15355 Q6IAU5
hsa:57665	Q9HBH5 Q53RX3
hsa:3717	O60674
hsa:5150	Q13946
hsa:326625	Q96EY8
hsa:5536	P53041 A0A024R0Q7
hsa:36	P45954 A0A0S2Z3P9
hsa:10	P11245 A4Z6T7
hsa:107	Q08828
hsa:1633	P27707 F5CTF3
hsa:2041	P21709
hsa:4128	P21397 Q53YE7 Q49A63
hsa:1580	P13584
hsa:7363	P06133
hsa:7174	P29144
hsa:5550	P48147 B2RAH7
hsa:27115	Q9NP56
hsa:587	O15382
hsa:196883	Q8NFM4
hsa:1562	P33260 Q7Z348
hsa:5562	Q13131
hsa:5145	P16499
hsa:2158	P00740
hsa:6609	P17405 Q59EN6
hsa:285220	Q9UF33
hsa:11266	Q9UNI6
hsa:8654	O76074
hsa:4281	O15344 A0A024RBV4
hsa:79799	Q6UWM9
hsa:80824	Q9BY84 A0A024RAR2
hsa:7075	P35590
hsa:1733	P49895 A8K415
hsa:4919	Q01973
hsa:2878	P22352
hsa:10901	Q9BTZ2
hsa:4482	Q9UJ68
hsa:115	O60503
hsa:3292	P14061
hsa:558	P30530
hsa:6259	P34925 A0A096LNL3 Q8WTZ8 Q59FQ5
hsa:2673	Q06210
hsa:2879	P36969
hsa:2066	Q15303
hsa:247	O15296
hsa:1734	Q92813 A8K845
hsa:5136	P54750
