D00383	CHEMBL1519 CHEMBL2079671
D02341	CHEMBL509
D03252	CHEMBL288441
D03788	CHEMBL76688
D02355	CHEMBL1020
D02487	CHEMBL1201059
D00449	CHEMBL832
D00330	CHEMBL563
D00451	CHEMBL128
D00120	CHEMBL15770
D01211	CHEMBL1201138 CHEMBL1908361
D00285	CHEMBL58061
D00892	CHEMBL241778
D03765	CHEMBL1200831
D01690	CHEMBL17423
D02451	CHEMBL468419
D02193	CHEMBL1200367
D01364	CHEMBL242580
D01441	CHEMBL1642
D01276	CHEMBL1200678
D01973	CHEMBL1201003
D00885	CHEMBL1200836
D00414	CHEMBL93
D00298	CHEMBL1751
D00029	CHEMBL857
D00749	CHEMBL960
D04292	CHEMBL1624158 CHEMBL659
D00425	CHEMBL1070
D00691	CHEMBL1752
D00342	CHEMBL788
D01828	CHEMBL1096
D00203	CHEMBL267345 CHEMBL364143
D01842	CHEMBL84446
D03433	CHEMBL2105801
D00496	CHEMBL1430
D00036	CHEMBL1140
D03767	CHEMBL2105776
D00904	CHEMBL1034
D03741	CHEMBL1790497 CHEMBL362209
D03077	CHEMBL1192519 CHEMBL36429
D00317	CHEMBL880
D00965	CHEMBL1274
D03806	CHEMBL7679
D03350	CHEMBL545315
D00021	CHEMBL301523
D03745	CHEMBL2105775
D05353	CHEMBL1502
D00270	CHEMBL71
D01974	CHEMBL34913
D03217	CHEMBL1963681
D00579	CHEMBL754
D00283	CHEMBL42
D02563	CHEMBL416578
D02308	CHEMBL503160
D03775	CHEMBL579
D00501	CHEMBL628
D02566	CHEMBL1201257 CHEMBL21731
D01918	CHEMBL3182314
D00410	CHEMBL934
D00487	CHEMBL812
D00151	CHEMBL686
D00328	CHEMBL1201012
D01136	CHEMBL877
D00018	CHEMBL196
D00219	CHEMBL1589
D00103	CHEMBL1236315
D03365	CHEMBL3
D02835	CHEMBL2106598
D00781	CHEMBL953
D00118	CHEMBL154
D03828	CHEMBL2360464
D00325	CHEMBL1501 CHEMBL1708010
D02581	CHEMBL2104092
D00893	CHEMBL690
D00032	CHEMBL17962
D00519	CHEMBL842
D00097	CHEMBL424
D02375	CHEMBL822
D01907	CHEMBL1096882
D00005	CHEMBL1232653
D01475	CHEMBL3183067
D00535	CHEMBL89598
D00130	CHEMBL898
D01665	CHEMBL1563661 CHEMBL476960
D03689	CHEMBL28636
D01981	CHEMBL522038
D00369	CHEMBL852
D02304	CHEMBL8085
D00533	CHEMBL1068
D00183	CHEMBL5
D03717	CHEMBL296913
D00544	CHEMBL1341
D02323	CHEMBL436
D00070	CHEMBL1622
D00624	CHEMBL1200343
D03899	CHEMBL53463 CHEMBL6608
D00650	CHEMBL1684
D00168	CHEMBL803
D00251	CHEMBL1560 CHEMBL162360
D04197	CHEMBL917
D00391	CHEMBL1129
D00169	CHEMBL1562610
D00377	CHEMBL704
D00652	CHEMBL220491
D02580	CHEMBL1201168
D00208	CHEMBL105
D01397	CHEMBL1566249
D03670	CHEMBL556
D00423	CHEMBL1643
D02173	CHEMBL1555 CHEMBL1555821
D01183	CHEMBL121626
D00733	CHEMBL1086
D00488	CHEMBL36
D00463	CHEMBL1071
D03720	CHEMBL289228
D02418	CHEMBL338975
D00651	CHEMBL1201039
D03733	CHEMBL2106694
D02560	CHEMBL160347
D00315	CHEMBL622
D02671	CHEMBL1088
D00007	CHEMBL575060
D00136	CHEMBL54
D00129	CHEMBL297508 CHEMBL3351073 CHEMBL846
D02655	CHEMBL1256671
D00560	CHEMBL1423
D00574	CHEMBL488
D00537	CHEMBL220492
D00332	CHEMBL940
D01513	CHEMBL1765293
D01256	CHEMBL61593
D00126	CHEMBL521
D01228	CHEMBL1098285
D00359	CHEMBL1515625 CHEMBL333443 CHEMBL503
D00086	CHEMBL33864
D02564	CHEMBL1200425
D01862	CHEMBL1237061 CHEMBL2357750
D01866	CHEMBL1569487
D00014	CHEMBL1514919 CHEMBL1543
D00528	CHEMBL113
D00109	CHEMBL25
D00065	CHEMBL1233584 CHEMBL1869615
D02289	CHEMBL1201173
D00037	CHEMBL1261
D03208	CHEMBL1639
D00153	CHEMBL1489751 CHEMBL1571
D00387	CHEMBL646
D01885	CHEMBL1398373
D01578	CHEMBL367463
D00829	CHEMBL1201037
D00577	CHEMBL411
D01133	CHEMBL24646
D00630	CHEMBL1311
D02176	CHEMBL1149 CHEMBL1229656
D00621	CHEMBL1200659
D03763	CHEMBL2051970
D00416	CHEMBL91
D03731	CHEMBL972
D03882	CHEMBL304818
D00340	CHEMBL435
D00994	CHEMBL1128
D00054	CHEMBL1556
D00882	CHEMBL1559
D02350	CHEMBL1297
D04025	CHEMBL1614707
D00364	CHEMBL998
D01888	CHEMBL3186177
D02321	CHEMBL43
D03710	CHEMBL416146
D00903	CHEMBL1200804
D00703	CHEMBL1576
D00569	CHEMBL16073
D00566	CHEMBL447868
D04029	CHEMBL558198
D01223	CHEMBL1773
D01196	CHEMBL1200814
D03440	CHEMBL36503
D00545	CHEMBL1256
D00518	CHEMBL17
D00454	CHEMBL715
D00709	CHEMBL1286
D03218	CHEMBL1289926
D00653	CHEMBL1201162
D00513	CHEMBL500
D03753	CHEMBL1581
D02017	CHEMBL1200434
D00550	CHEMBL655
D00035	CHEMBL54922
D00252	CHEMBL108
D00132	CHEMBL571
D01549	CHEMBL3183293
D00094	CHEMBL38
D00452	CHEMBL956
D00568	CHEMBL122
D06238	CHEMBL119
D01840	CHEMBL541388
D01966	CHEMBL1138
D03012	CHEMBL101309
D02441	CHEMBL18
D00158	CHEMBL1437585
D00398	CHEMBL1201110
D00234	CHEMBL296419
D04092	CHEMBL1412355
D00274	CHEMBL1729
D00041	CHEMBL291747
D00620	CHEMBL1694
D02328	CHEMBL10372
D00596	CHEMBL843
D00658	CHEMBL1054
D00543	CHEMBL1257
D01915	CHEMBL1744447
D03845	CHEMBL1204135
D03752	CHEMBL1592
D00512	CHEMBL16
D00448	CHEMBL421
D00810	CHEMBL2104095
D02315	CHEMBL8659
D02769	CHEMBL752
D01198	CHEMBL116315
D00216	CHEMBL1566
D00380	CHEMBL782
D00139	CHEMBL416
D01911	CHEMBL1697719 CHEMBL2374637
D00401	CHEMBL1515
D00786	CHEMBL1324
D02335	CHEMBL590
D03738	CHEMBL300337
D02698	CHEMBL452231
D01001	CHEMBL1200541
D02729	CHEMBL2139257
D01900	CHEMBL2103775
D05458	CHEMBL1574
D00625	CHEMBL1561
D03758	CHEMBL430554
D00960	CHEMBL1399
D03714	CHEMBL404108
D02229	CHEMBL1737
D00813	CHEMBL1201124
D00002	CHEMBL1234613 CHEMBL1454168
D00771	CHEMBL1371
D00785	CHEMBL1200904
D00538	CHEMBL750
D00198	CHEMBL1668
D01119	CHEMBL2104499
D00521	CHEMBL17157
D03712	CHEMBL69998
D03601	CHEMBL2218880
D01425	CHEMBL729
D03798	CHEMBL1466
D00225	CHEMBL661
D03773	CHEMBL1733
D03826	CHEMBL2105891
D00655	CHEMBL19
D00547	CHEMBL1200694
D00293	CHEMBL12
D00593	CHEMBL1481 CHEMBL149223
D00503	CHEMBL567
D00516	CHEMBL6622
D02194	CHEMBL1201057
D00753	CHEMBL1329171 CHEMBL413
D00726	CHEMBL86
D00947	CHEMBL126
D00889	CHEMBL1200563
D03772	CHEMBL581
D00970	CHEMBL1200806
D00968	CHEMBL2103736
D02342	CHEMBL645
D01825	CHEMBL279775 CHEMBL989
D00667	CHEMBL1200514
D01367	CHEMBL1200600
D00141	CHEMBL6
D00196	CHEMBL94
D00654	CHEMBL1763
D01071	CHEMBL7728
D02214	CHEMBL1200981 CHEMBL543353
D01704	CHEMBL27220
D04024	CHEMBL1201179
D00322	CHEMBL106
D00187	CHEMBL1436587 CHEMBL1536 CHEMBL50241
D00142	CHEMBL34259
D02068	CHEMBL1677
D04028	CHEMBL175247 CHEMBL2354678
D02368	CHEMBL888
D00362	CHEMBL419213
D02709	CHEMBL865
D00510	CHEMBL101
D00417	CHEMBL189
D01064	CHEMBL225071
D00155	CHEMBL1580
D04983	CHEMBL274119
D00515	CHEMBL730
D02168	CHEMBL1607
D00127	CHEMBL527
D00052	CHEMBL858
D02579	CHEMBL92401
D00998	CHEMBL211471
D03034	CHEMBL1238
D00459	CHEMBL1201011
D00542	CHEMBL931
D00039	CHEMBL43068
D00300	CHEMBL657
D00434	CHEMBL1064 CHEMBL3349544
D02756	CHEMBL45414 CHEMBL502620
D03816	CHEMBL2107785
D01547	CHEMBL1765291
D01715	CHEMBL1983865
D02561	CHEMBL86304
D05407	CHEMBL1540
D00805	CHEMBL167150
D01767	CHEMBL302795
D03734	CHEMBL2105855
D02556	CHEMBL294029
D02880	CHEMBL2105698
D01164	CHEMBL1112
D01264	CHEMBL1563 CHEMBL158918
D01118	CHEMBL1200970
D01582	CHEMBL189171
D01332	CHEMBL1633
D00222	CHEMBL184
D01844	CHEMBL1200644
D00043	CHEMBL1025
D00567	CHEMBL118
D03722	CHEMBL324954
D00125	CHEMBL268601 CHEMBL320876 CHEMBL44657
D00224	CHEMBL1467
D03743	CHEMBL2105823 CHEMBL60550
D01565	CHEMBL3186966
D00964	CHEMBL1444
D03751	CHEMBL329012
D00584	CHEMBL185
