UniProtAcc	EntryName	GeneName	Organism	Target_ChEMBLid
P17612	KAPCA	PRKACA	HUMAN	CHEMBL4101
P17706	PTN2	PTPN2	HUMAN	CHEMBL3807
P17948	VGFR1	FLT1	HUMAN	CHEMBL1868
P18031	PTN1	PTPN1	HUMAN	CHEMBL335
P18054	LOX12	ALOX12	HUMAN	CHEMBL3687
P18089	ADA2B	ADRA2B	HUMAN	CHEMBL1942
P18130	ADA1A	ADRA1A	BOVIN	CHEMBL4892
P18405	S5A1	SRD5A1	HUMAN	CHEMBL1787
P18825	ADA2C	ADRA2C	HUMAN	CHEMBL1916
P18841	ADA1B	ADRA1B	MESAU	CHEMBL3122
P18901	DRD1	DRD1	RAT	CHEMBL265
P19020	DRD3	DRD3	RAT	CHEMBL3138
P19099	C11B2	CYP11B2	HUMAN	CHEMBL2722
P19327	5HT1A	HTR1A	RAT	CHEMBL273
P19643	AOFB	MAOB	RAT	CHEMBL2993
P19784	CSK22	CSNK2A2	HUMAN	CHEMBL4070
P19793	RXRA	RXRA	HUMAN	CHEMBL2061
P20272	CNR1	CNR1	RAT	CHEMBL3571
P20288	DRD2	DRD2	BOVIN	CHEMBL3998
P20309	ACM3	CHRM3	HUMAN	CHEMBL245
P20444	KPCA	PRKCA	MOUSE	CHEMBL2567
P21396	AOFA	MAOA	RAT	CHEMBL3358
P21397	AOFA	MAOA	HUMAN	CHEMBL1951
P21398	AOFA	MAOA	BOVIN	CHEMBL3254
P21451	EDNRB	EDNRB	RAT	CHEMBL4631
P21452	NK2R	TACR2	HUMAN	CHEMBL2327
P21453	S1PR1	S1PR1	HUMAN	CHEMBL4333
P21554	CNR1	CNR1	HUMAN	CHEMBL218
P21556	PTAFR	PTAFR	CAVPO	CHEMBL5136
P21728	DRD1	DRD1	HUMAN	CHEMBL2056
P21730	C5AR1	C5AR1	HUMAN	CHEMBL2373
P21731	TA2R	TBXA2R	HUMAN	CHEMBL2069
P21802	FGFR2	FGFR2	HUMAN	CHEMBL4142
P21836	ACES	ACHE	MOUSE	CHEMBL3198
P21917	DRD4	DRD4	HUMAN	CHEMBL219
P21918	DRD5	DRD5	HUMAN	CHEMBL1850
P22001	KCNA3	KCNA3	HUMAN	CHEMBL4633
P22303	ACES	ACHE	HUMAN	CHEMBL220
P22460	KCNA5	KCNA5	HUMAN	CHEMBL4306
P22607	FGFR3	FGFR3	HUMAN	CHEMBL2742
P22748	CAH4	CA4	HUMAN	CHEMBL3729
P22894	MMP8	MMP8	HUMAN	CHEMBL4588
P23141	EST1	CES1	HUMAN	CHEMBL2265
P23219	PGH1	PTGS1	HUMAN	CHEMBL221
P23280	CAH6	CA6	HUMAN	CHEMBL3025
P23385	GRM1	GRM1	RAT	CHEMBL4477
P23443	KS6B1	RPS6KB1	HUMAN	CHEMBL4501
P23458	JAK1	JAK1	HUMAN	CHEMBL2835
P23526	SAHH	AHCY	HUMAN	CHEMBL2664
P23687	PPCE	PREP	PIG	CHEMBL2461
P23739	SUIS	SI	RAT	CHEMBL3114
P23786	CPT2	CPT2	HUMAN	CHEMBL3238
P23795	ACES	ACHE	BOVIN	CHEMBL4768
P23944	ADA1D	ADRA1D	RAT	CHEMBL326
P23946	CMA1	CMA1	HUMAN	CHEMBL4068
P23975	SC6A2	SLC6A2	HUMAN	CHEMBL222
P23977	SC6A3	SLC6A3	RAT	CHEMBL338
P23978	SC6A1	SLC6A1	RAT	CHEMBL4054
P24530	EDNRB	EDNRB	HUMAN	CHEMBL1785
P24557	THAS	TBXAS1	HUMAN	CHEMBL1835
P24723	KPCL	PRKCH	HUMAN	CHEMBL3616
P24941	CDK2	CDK2	HUMAN	CHEMBL301
P25021	HRH2	HRH2	HUMAN	CHEMBL1941
P25024	CXCR1	CXCR1	HUMAN	CHEMBL4029
P25025	CXCR2	CXCR2	HUMAN	CHEMBL2434
P25098	ARBK1	GRK2	HUMAN	CHEMBL4079
P25099	AA1R	ADORA1	RAT	CHEMBL318
P25100	ADA1D	ADRA1D	HUMAN	CHEMBL223
P25101	EDNRA	EDNRA	HUMAN	CHEMBL252
P25103	NK1R	TACR1	HUMAN	CHEMBL249
P25104	AGTR1	AGTR1	BOVIN	CHEMBL3374
P25105	PTAFR	PTAFR	HUMAN	CHEMBL250
P25116	PAR1	F2R	HUMAN	CHEMBL3974
P25440	BRD2	BRD2	HUMAN	CHEMBL1293289
P25774	CATS	CTSS	HUMAN	CHEMBL2954
P25929	NPY1R	NPY1R	HUMAN	CHEMBL4777
P26684	EDNRA	EDNRA	RAT	CHEMBL4566
P27338	AOFB	MAOB	HUMAN	CHEMBL2039
P27361	MK03	MAPK3	HUMAN	CHEMBL3385
P27487	DPP4	DPP4	HUMAN	CHEMBL284
P27732	CAC1D	CACNA1D	RAT	CHEMBL4132
P27815	PDE4A	PDE4A	HUMAN	CHEMBL254
P28190	AA1R	ADORA1	BOVIN	CHEMBL4975
P28221	5HT1D	HTR1D	HUMAN	CHEMBL1983
P28222	5HT1B	HTR1B	HUMAN	CHEMBL1898
P28223	5HT2A	HTR2A	HUMAN	CHEMBL224
P28335	5HT2C	HTR2C	HUMAN	CHEMBL225
P28336	NMBR	NMBR	HUMAN	CHEMBL3636
P28482	MK01	MAPK1	HUMAN	CHEMBL4040
P28564	5HT1B	HTR1B	RAT	CHEMBL3459
P28646	SSR1	SSTR1	RAT	CHEMBL4652
P28647	AA3R	ADORA3	RAT	CHEMBL3360
P28702	RXRB	RXRB	HUMAN	CHEMBL1870
P28845	DHI1	HSD11B1	HUMAN	CHEMBL4235
P29089	AGTRB	AGTR1B	RAT	CHEMBL263
P29274	AA2AR	ADORA2A	HUMAN	CHEMBL251
P29275	AA2BR	ADORA2B	HUMAN	CHEMBL255
P29371	NK3R	TACR3	HUMAN	CHEMBL4429
P29466	CASP1	CASP1	HUMAN	CHEMBL4801
P29474	NOS3	NOS3	HUMAN	CHEMBL4803
P29475	NOS1	NOS1	HUMAN	CHEMBL3568
P29476	NOS1	NOS1	RAT	CHEMBL3048
P29477	NOS2	NOS2	MOUSE	CHEMBL3464
P29597	TYK2	TYK2	HUMAN	CHEMBL3553
P30291	WEE1	WEE1	HUMAN	CHEMBL5491
P30304	MPIP1	CDC25A	HUMAN	CHEMBL3775
P30305	MPIP2	CDC25B	HUMAN	CHEMBL4804
P30411	BKRB2	BDKRB2	HUMAN	CHEMBL3157
P30518	V2R	AVPR2	HUMAN	CHEMBL1790
P30530	UFO	AXL	HUMAN	CHEMBL4895
P30542	AA1R	ADORA1	HUMAN	CHEMBL226
P30543	AA2AR	ADORA2A	RAT	CHEMBL302
P30547	NK1R	TACR1	CAVPO	CHEMBL3942
P30551	CCKAR	CCKAR	RAT	CHEMBL2871
P30553	GASR	CCKBR	RAT	CHEMBL3508
P30556	AGTR1	AGTR1	HUMAN	CHEMBL227
P30557	PE2R3	PTGER3	MOUSE	CHEMBL4336
P30559	OXYR	OXTR	HUMAN	CHEMBL2049
P30560	V1AR	AVPR1A	RAT	CHEMBL2868
P30729	DRD4	DRD4	RAT	CHEMBL3361
P30872	SSR1	SSTR1	HUMAN	CHEMBL1917
P30874	SSR2	SSTR2	HUMAN	CHEMBL1804
P30939	5HT1F	HTR1F	HUMAN	CHEMBL1805
P30968	GNRHR	GNRHR	HUMAN	CHEMBL1855
P30969	GNRHR	GNRHR	RAT	CHEMBL3066
P30989	NTR1	NTSR1	HUMAN	CHEMBL4123
P31389	HRH1	HRH1	CAVPO	CHEMBL3943
P31390	HRH1	HRH1	RAT	CHEMBL4701
P31391	SSR4	SSTR4	HUMAN	CHEMBL1853
P31421	GRM2	GRM2	RAT	CHEMBL2851
P31422	GRM3	GRM3	RAT	CHEMBL3067
P31424	GRM5	GRM5	RAT	CHEMBL2564
P31639	SC5A2	SLC5A2	HUMAN	CHEMBL3884
P31644	GBRA5	GABRA5	HUMAN	CHEMBL5112
P31645	SC6A4	SLC6A4	HUMAN	CHEMBL228
P31652	SC6A4	SLC6A4	RAT	CHEMBL313
P31749	AKT1	AKT1	HUMAN	CHEMBL4282
P31751	AKT2	AKT2	HUMAN	CHEMBL2431
P32198	CPT1A	CPT1A	RAT	CHEMBL3858
P32238	CCKAR	CCKAR	HUMAN	CHEMBL1901
P32239	GASR	CCKBR	HUMAN	CHEMBL298
P32240	PE2R4	PTGER4	MOUSE	CHEMBL2489
P32245	MC4R	MC4R	HUMAN	CHEMBL259
P32246	CCR1	CCR1	HUMAN	CHEMBL2413
P32247	BRS3	BRS3	HUMAN	CHEMBL4080
P32300	OPRD	OPRD1	MOUSE	CHEMBL3222
P32305	5HT7R	HTR7	RAT	CHEMBL3223
P32745	SSR3	SSTR3	HUMAN	CHEMBL2028
P33032	MC5R	MC5R	HUMAN	CHEMBL4608
P33527	MRP1	ABCC1	HUMAN	CHEMBL3004
P33533	OPRD	OPRD1	RAT	CHEMBL269
P33534	OPRK	OPRK1	MOUSE	CHEMBL4329
P33535	OPRM	OPRM1	RAT	CHEMBL270
P33981	TTK	TTK	HUMAN	CHEMBL3983
P34913	HYES	EPHX2	HUMAN	CHEMBL2409
P34914	HYES	EPHX2	MOUSE	CHEMBL4140
P34949	MPI	MPI	HUMAN	CHEMBL2758
P34969	5HT7R	HTR7	HUMAN	CHEMBL3155
P34972	CNR2	CNR2	HUMAN	CHEMBL253
P34975	OPRK	OPRK1	RAT	CHEMBL3614
P34976	AGTR1	AGTR1	RABIT	CHEMBL3948
P34995	PE2R1	PTGER1	HUMAN	CHEMBL1811
P35218	CAH5A	CA5A	HUMAN	CHEMBL4789
P35228	NOS2	NOS2	HUMAN	CHEMBL4481
P35346	SSR5	SSTR5	HUMAN	CHEMBL1792
P35348	ADA1A	ADRA1A	HUMAN	CHEMBL229
P35351	AGTR2	AGTR2	RAT	CHEMBL257
P35354	PGH2	PTGS2	HUMAN	CHEMBL230
P35367	HRH1	HRH1	HUMAN	CHEMBL231
P35368	ADA1B	ADRA1B	HUMAN	CHEMBL232
P35372	OPRM	OPRM1	HUMAN	CHEMBL233
P35408	PE2R4	PTGER4	HUMAN	CHEMBL1836
P35439	NMDZ1	GRIN1	RAT	CHEMBL330
P35462	DRD3	DRD3	HUMAN	CHEMBL234
P35463	EDNRB	EDNRB	PIG	CHEMBL3949
P35499	SCN4A	SCN4A	HUMAN	CHEMBL2072
P35610	SOAT1	SOAT1	HUMAN	CHEMBL2782
P35916	VGFR3	FLT4	HUMAN	CHEMBL1955
P35968	VGFR2	KDR	HUMAN	CHEMBL279
P36544	ACHA7	CHRNA7	HUMAN	CHEMBL2492
P36888	FLT3	FLT3	HUMAN	CHEMBL1974
P36897	TGFR1	TGFBR1	HUMAN	CHEMBL4439
P37058	DHB3	HSD17B3	HUMAN	CHEMBL4234
P37059	DHB2	HSD17B2	HUMAN	CHEMBL2789
P37136	ACES	ACHE	RAT	CHEMBL3199
P37231	PPARG	PPARG	HUMAN	CHEMBL235
P37288	V1AR	AVPR1A	HUMAN	CHEMBL1889
P39086	GRIK1	GRIK1	HUMAN	CHEMBL1918
P39900	MMP12	MMP12	HUMAN	CHEMBL4393
P40763	STAT3	STAT3	HUMAN	CHEMBL4026
P41143	OPRD	OPRD1	HUMAN	CHEMBL236
P41144	OPRK	OPRK1	CAVPO	CHEMBL3952
P41145	OPRK	OPRK1	HUMAN	CHEMBL237
P41146	OPRX	OPRL1	HUMAN	CHEMBL2014
P41149	MC5R	MC5R	MOUSE	CHEMBL4489
P41180	CASR	CASR	HUMAN	CHEMBL1878
P41279	M3K8	MAP3K8	HUMAN	CHEMBL4899
P41594	GRM5	GRM5	HUMAN	CHEMBL3227
P41595	5HT2B	HTR2B	HUMAN	CHEMBL1833
P41597	CCR2	CCR2	HUMAN	CHEMBL4015
P41743	KPCI	PRKCI	HUMAN	CHEMBL2598
P41968	MC3R	MC3R	HUMAN	CHEMBL4644
P42226	STAT6	STAT6	HUMAN	CHEMBL5401
P42262	GRIA2	GRIA2	HUMAN	CHEMBL4016
P42330	AK1C3	AKR1C3	HUMAN	CHEMBL4681
P42336	PK3CA	PIK3CA	HUMAN	CHEMBL4005
P42337	PK3CA	PIK3CA	MOUSE	CHEMBL2499
P42338	PK3CB	PIK3CB	HUMAN	CHEMBL3145
P42345	MTOR	MTOR	HUMAN	CHEMBL2842
P42574	CASP3	CASP3	HUMAN	CHEMBL2334
P42785	PCP	PRCP	HUMAN	CHEMBL2335
P42866	OPRM	OPRM1	MOUSE	CHEMBL2858
P43115	PE2R3	PTGER3	HUMAN	CHEMBL3710
P43116	PE2R2	PTGER2	HUMAN	CHEMBL1881
P43119	PI2R	PTGIR	HUMAN	CHEMBL1995
P43140	ADA1A	ADRA1A	RAT	CHEMBL319
P43166	CAH7	CA7	HUMAN	CHEMBL2326
P43235	CATK	CTSK	HUMAN	CHEMBL268
P43403	ZAP70	ZAP70	HUMAN	CHEMBL2803
P43405	KSYK	SYK	HUMAN	CHEMBL2599
P43490	NAMPT	NAMPT	HUMAN	CHEMBL1744525
P43681	ACHA4	CHRNA4	HUMAN	CHEMBL1882
P45452	MMP13	MMP13	HUMAN	CHEMBL280
P45983	MK08	MAPK8	HUMAN	CHEMBL2276
P45984	MK09	MAPK9	HUMAN	CHEMBL4179
P46098	5HT3A	HTR3A	HUMAN	CHEMBL1899
P46663	BKRB1	BDKRB1	HUMAN	CHEMBL4308
P47712	PA24A	PLA2G4A	HUMAN	CHEMBL3816
P47745	AA1R	ADORA1	CAVPO	CHEMBL2304404
P47746	CNR1	CNR1	MOUSE	CHEMBL3037
P47811	MK14	MAPK14	MOUSE	CHEMBL2336
P47820	ACE	ACE	RAT	CHEMBL2625
P47869	GBRA2	GABRA2	HUMAN	CHEMBL4956
P47898	5HT5A	HTR5A	HUMAN	CHEMBL3426
P47900	P2RY1	P2RY1	HUMAN	CHEMBL4315
P47901	V1BR	AVPR1B	HUMAN	CHEMBL1921
P47936	CNR2	CNR2	MOUSE	CHEMBL5373
P47989	XDH	XDH	HUMAN	CHEMBL1929
P48039	MTR1A	MTNR1A	HUMAN	CHEMBL1945
P48067	SC6A9	SLC6A9	HUMAN	CHEMBL2337
P48147	PPCE	PREP	HUMAN	CHEMBL3202
P48443	RXRG	RXRG	HUMAN	CHEMBL2004
P48730	KC1D	CSNK1D	HUMAN	CHEMBL2828
P48736	PK3CG	PIK3CG	HUMAN	CHEMBL3267
P49137	MAPK2	MAPKAPK2	HUMAN	CHEMBL2208
P49146	NPY2R	NPY2R	HUMAN	CHEMBL4018
P49286	MTR1B	MTNR1B	HUMAN	CHEMBL1946
P49327	FAS	FASN	HUMAN	CHEMBL4158
P49336	CDK8	CDK8	HUMAN	CHEMBL5719
P49430	THAS	TBXAS1	RAT	CHEMBL4028
P49682	CXCR3	CXCR3	HUMAN	CHEMBL4441
P49759	CLK1	CLK1	HUMAN	CHEMBL4224
P49840	GSK3A	GSK3A	HUMAN	CHEMBL2850
P49841	GSK3B	GSK3B	HUMAN	CHEMBL262
P50052	AGTR2	AGTR2	HUMAN	CHEMBL4607
P50130	DRD1	DRD1	PIG	CHEMBL5067
P50281	MMP14	MMP14	HUMAN	CHEMBL3869
P50406	5HT6R	HTR6	HUMAN	CHEMBL3371
P50416	CPT1A	CPT1A	HUMAN	CHEMBL1293194
P50613	CDK7	CDK7	HUMAN	CHEMBL3055
P50750	CDK9	CDK9	HUMAN	CHEMBL3116
P51449	RORG	RORC	HUMAN	CHEMBL1741186
P51452	DUS3	DUSP3	HUMAN	CHEMBL2635
P51677	CCR3	CCR3	HUMAN	CHEMBL3473
P51679	CCR4	CCR4	HUMAN	CHEMBL2414
P51681	CCR5	CCR5	HUMAN	CHEMBL274
